rxn,ec,ourRegulators(extended),RegulatorsBRENDA,IntersectionsBRENDA,IntersectionsSTITCH
ACOAD1f_b,,"[164735, 880, 68841, 439184, 135403648, 5951, 440018, 46878377, 105, 5460375, 135398657, 122357, 135398652, 135398649, 61503, 439452, 165007, 124886, 91493, 135450591, 2723872]",,,"{439184, 164735}"
ACOAD2f_b,,"[164735, 880, 68841, 439184, 135403648, 5951, 440018, 46878377, 105, 5460375, 135398657, 122357, 135398652, 135398649, 61503, 439452, 165007, 124886, 91493, 135450591, 2723872]",,,"{439184, 164735}"
ACOAD3f_b,,"[164735, 12647, 135398635, 5461143, 7866, 439184, 122357, 440033, 5460100, 86289686, 171548, 6288, 439452, 152441, 6175, 51, 65533, 165007, 151187, 5960, 439190, 2723872]",,,"{439184, 164735}"
ACOAD4f_b,,"[164735, 12647, 135398635, 5461143, 7866, 439184, 122357, 440033, 5460100, 86289686, 171548, 6288, 439452, 152441, 6175, 51, 65533, 165007, 151187, 5960, 439190, 2723872]",,,"{439184, 164735}"
ACOAD5f_b,,"[164735, 12647, 135398635, 5461143, 7866, 439184, 122357, 440033, 5460100, 86289686, 171548, 6288, 439452, 152441, 6175, 51, 65533, 165007, 151187, 5960, 439190, 2723872]",,,"{439184, 164735}"
ACOAD6f_b,,"[164735, 12647, 135398635, 5461143, 7866, 439184, 122357, 440033, 5460100, 86289686, 171548, 6288, 152441, 6175, 51, 65533, 165007, 91493, 151187, 5960, 439190, 2723872]",,,"{439184, 164735}"
ACOAD7f_b,,"[164735, 12647, 135398635, 5461143, 7866, 439184, 122357, 440033, 5460100, 86289686, 171548, 6288, 152441, 6175, 51, 65533, 165007, 91493, 151187, 5960, 439190, 2723872]",,,"{439184, 164735}"
ADCL,['4.1.3.38'],"[439190, 1038, 107735, 1061, 948, 439183, 1005, 175, 92753, 729, 643984, 5892, 439958, 439452, 439191, 444493, 65533, 7339, 91493, 186, 5793, 439278]",set(),set(),"{5892, 91493, 7339, 439278, 175, 439183, 439191}"
ADK1,['2.7.4.3'],"[439452, 135398649, 68841, 135403648, 5951, 91493, 135398652, 105, 5460375, 135398657, 439190, 135450591, 750, 61503]",{440210},set(),"{68841, 750}"
ADSL1r,['4.3.2.2'],"[5204641, 1038, 107735, 1061, 439183, 1005, 175, 92753, 729, 643984, 5892, 439958, 444493, 439191, 7339, 283, 186, 5793, 439278]",set(),set(),"{7339, 1005}"
ADSL2r,['4.3.2.2'],"[5204641, 880, 135398649, 135398635, 68841, 6175, 5951, 135398652, 440018, 46878377, 124886, 135398657, 105, 5460375, 750, 61503]",set(),set(),"{68841, 6175}"
ANPRT,['2.4.2.18'],"[24906334, 5460221, 25244191, 169621, 5497143, 11966177, 25271599, 11966158, 445638, 24906330, 11966173, 11966197, 5460326, 864, 5360545, 440615, 11966216, 9543037, 11966162, 11966160, 11966172, 92153, 985, 3082152, 25113193, 122283, 11966110, 45266605, 25245711, 11966179, 53262365, 23724672, 11966204, 11966175, 5497111, 440604, 11966169, 16061158, 70698756, 11966155, 24883423, 22833664]",{6305},set(),set()
APRAUR,['1.1.1.193'],"[107735, 1061, 439183, 1005, 175, 92753, 729, 643984, 5892, 439958, 439191, 444493, 7339, 186, 5793, 439278]",set(),set(),"{444493, 175}"
ASPTA_b,['1.1.1.193'],"[107735, 31348, 87642, 1198, 1005, 175, 729, 643984, 160419, 439958, 439191, 444493, 5460307, 5459792, 7339, 283, 186, 5793, 439183]",,,"{7339, 1005, 444493, 175, 283}"
BMOCOS,['1.1.1.193'],"[12647, 152441, 5461143, 151187, 5960, 440033, 5460100, 86289686]",,,set()
CBLAT,['2.5.1.17'],"[24906334, 1038, 446013, 5460221, 439160, 25244191, 169621, 5497143, 11966177, 25271599, 24906330, 11966158, 11966173, 668, 445638, 729, 643984, 11966197, 5460326, 864, 440615, 11966216, 9543037, 11966162, 11966160, 11966172, 92153, 985, 3082152, 439183, 25113193, 175, 122283, 11966110, 439958, 45266605, 25245711, 11966179, 53262365, 23724672, 11966204, 11966175, 5497111, 440604, 11966169, 16061158, 70698756, 11966155, 186, 5793, 24883423, 22833664]",set(),set(),set()
CTECOAI7_b,['2.5.1.17'],"[24906334, 5460221, 446013, 1198, 25244191, 169621, 5497143, 11966177, 24906330, 11966158, 445638, 11966173, 160419, 25074411, 11966197, 5460326, 864, 440615, 11966216, 9543037, 11966162, 11966160, 11966172, 92153, 985, 3082152, 25113193, 122283, 11966110, 45266605, 25245711, 5283546, 5460307, 11966179, 53262365, 23724672, 643757, 5459792, 11966204, 11966175, 5497111, 440604, 11966169, 16061158, 70698756, 11966155, 970, 24883423, 22833664]",,,"{11966216, 169621, 440604, 11966110, 3082152, 122283, 1198, 5497143, 446013, 970, 11966155, 11966158, 11966160, 11966162, 985, 11966169, 11966172, 11966173, 11966175, 864, 11966177, 24883423, 11966179, 11966197, 92153, 11966204, 9543037}"
CTECOAI8_b,['2.5.1.17'],"[439190, 12647, 1038, 439287, 135398635, 107735, 135398638, 439184, 670, 447145, 440122, 729, 643984, 13730, 439452, 152441, 444493, 151187, 283, 439278, 164735, 135398593, 5461143, 87642, 7866, 1005, 92753, 122357, 150629, 5892, 440033, 5460100, 86289686, 71077, 171548, 6288, 86289313, 1173, 439191, 6175, 135398641, 5960, 91493, 5280604, 439183]",,,"{5892, 444493, 6288, 92753, 729, 87642, 283}"
CTPS2,['6.3.4.2'],"[5204641, 439278, 5376004, 107735, 87642, 90658453, 175, 729, 643984, 439958, 49859619, 439191, 444493, 7339, 186, 5793, 439183]","{135398592, 60961, 1188, 135398635, 6029, 135398641, 1174, 193305, 104729, 1117, 190, 64959}",set(),{444493}
DAPE,['5.1.1.7'],[5360545],set(),set(),set()
DB4PS,['4.1.99.12'],"[5204641, 12647, 6288, 152441, 5461143, 5960, 440033, 5460100, 86289686]",set(),set(),set()
DHDPS,['4.1.99.12'],"[164735, 29936, 5376507, 45479636, 165007]",,,set()
DHPPDA2,['3.5.4.26'],"[1038, 439287, 670, 175, 92753, 150629, 13730, 668, 71077, 439958, 86289313, 186, 5793]",set(),set(),"{150629, 175}"
DHQS,['4.2.3.4'],"[44123557, 34755, 34756, 24762165, 439155, 1198, 443434, 91552, 448719, 160419, 24798681, 6137, 5460307, 644102, 643757, 5459792, 60961, 439236, 970]",set(),set(),{970}
EDA,"['4.1.2.14', '4.1.2.55']","[5204641, 1038, 439160, 107735, 87642, 439183, 1005, 175, 729, 643984, 5892, 668, 1045, 439958, 439191, 444493, 7339, 283, 186, 5793, 439278]",set(),set(),"{5892, 1005, 175, 1045, 439191, 729}"
EDD,['4.2.1.12'],"[439287, 135403648, 670, 92753, 135398657, 150629, 135398652, 447145, 440122, 13730, 135398649, 71077, 86289313, 135450591]",{784},set(),set()
ENO,['4.2.1.11'],"[1198, 643757, 5459792, 970, 5460307, 160419]",set(),set(),"{970, 643757, 1198}"
FACOAE120,['3.1.2.2'],"[1038, 439287, 107735, 135398638, 1198, 670, 447145, 440122, 729, 643984, 13730, 668, 25074411, 160419, 444493, 283, 439278, 135398593, 87642, 175, 1005, 92753, 150629, 5892, 71077, 439958, 86289313, 439191, 5283546, 5460307, 135398641, 643757, 5459792, 190, 439236, 186, 5793, 970, 223, 439183]",set(),set(),"{5892, 444493, 175, 92753, 87642, 283}"
FACOAE140,['3.1.2.2'],"[1038, 439160, 439287, 107735, 1198, 670, 447145, 440122, 729, 643984, 13730, 668, 25074411, 160419, 444493, 283, 439278, 31348, 87642, 175, 1005, 92753, 150629, 5892, 71077, 439958, 5280604, 86289313, 1173, 5283546, 5460307, 439191, 5459792, 190, 33032, 439236, 186, 5793, 970, 223, 439183]",set(),set(),"{5892, 444493, 175, 92753, 87642, 283}"
FACOAE160,"['3.1.2.22', '3.1.2.2']","[1038, 439160, 439287, 107735, 1198, 670, 447145, 440122, 729, 643984, 13730, 668, 25074411, 160419, 444493, 283, 439278, 31348, 87642, 175, 1005, 92753, 150629, 5892, 71077, 439958, 5280604, 86289313, 1173, 5283546, 5460307, 439191, 5459792, 190, 33032, 439236, 186, 5793, 970, 223, 439183]",set(),set(),"{5892, 444493, 175, 92753, 87642, 283}"
