cid,metName
135403648,5-Formyltetrahydrofolate
135398657,"5,10-Methenyltetrahydrofolate"
165007,Sedoheptulose 7-phosphate
439184,D-Ribulose 5-phosphate
5460375,3-Phosphohydroxypyruvate
439452,"6-phospho-D-glucono-1,5-lactone"
2723872,D-Fructose
46878377,(R)-S-Lactoylglutathione
5951,L-Serine
61503,D-Lactate
440018,(R)-S-Lactoylglutathione
124886,Reduced glutathione
135450591,10-Formyltetrahydrofolate
91493,6-Phospho-D-gluconate
68841,O-Phospho-L-serine
105,3-Phosphohydroxypyruvate
880,Methylglyoxal
122357,D-Erythrose 4-phosphate
135398649,"5,6,7,8-Tetrahydrofolate"
135398652,"5,10-Methylenetetrahydrofolate"
164735,"Sedoheptulose 1,7-bisphosphate"
5460100,L-2-Amino-3-oxobutanoate
6288,L-Threonine
151187,O-Phospho-L-homoserine
86289686,L-2-Amino-3-oxobutanoate
5461143,L-Aspartate 4-semialdehyde
439190,D-Xylulose 5-phosphate
171548,Biotin
6175,Cytidine
51,2-Oxoglutarate
7866,Isethionic acid
5960,L-Aspartate
440033,L-2-Amino-3-oxobutanoate
12647,L-Homoserine
135398635,Guanosine
152441,4-Phospho-L-aspartate
65533,D-Glucose 1-phosphate
5892,Nicotinamide adenine dinucleotide
1038,H+
439183,3-Phospho-D-glycerate
643984,Glyceraldehyde 3-phosphate
439191,3-Phospho-D-glyceroyl phosphate
439958,D-Glucose 6-phosphate
5793,D-Glucose
1061,Phosphate
7339,5-Phospho-alpha-D-ribose 1-diphosphate
175,Acetate
948,Nitrous oxide
186,Acetyl phosphate
444493,Acetyl-CoA
92753,Propanoyl-CoA
107735,Pyruvate
729,Glyceraldehyde 3-phosphate
1005,Phosphoenolpyruvate
439278,D-Glycerate 2-phosphate
750,Glycine
440210,"P1,P5-Bis(5'-adenosyl) pentaphosphate"
283,Formate
5204641,3-Methyl-2-oxobutanoate
23724672,Lipoyl-AMP
22833664,3-Oxooctadecanoyl-CoA
70698756,3-Oxododecanoyl-CoA
11966216,(S)-3-Hydroxyoctanoyl-CoA
25245711,Octanoyl-CoA (n-C8:0CoA)
169621,3-Oxohexadecanoyl-CoA
5497111,Octadecenoyl-CoA (n-C18:1CoA)
440604,3-Oxododecanoyl-CoA
92153,Acetoacetyl-CoA
11966110,Trans-Dodec-2-enoyl-CoA
25244191,3-Oxohexadecanoyl-CoA
53262365,(S)-3-Hydroxyhexadecanoyl-CoA
5360545,Sodium
6305,L-Tryptophan
440615,Decanoyl-CoA (n-C10:0CoA)
3082152,3-Oxohexanoyl-CoA
122283,Butanoyl-CoA
45266605,Palmitoyl-CoA (n-C16:0CoA)
25271599,Trans-Hexadec-2-enoyl-CoA
5497143,Crotonoyl-CoA
445638,Hexadecenoate (n-C16:1)
11966155,3-Oxodecanoyl-CoA
11966158,(S)-3-Hydroxydecanoyl-CoA
11966160,(S)-3-Hydroxyhexanoyl-CoA
