Dataset S4: maximum value of in vivo catalytic rates across all conditions (fluxes were simulated using pFBA).							
Reaction ID in Yeast8	Gene ID	EC number	Condition	kmax (/s)	maxkmax (/s)	minkmax (/s)	log10(maxkmax/minkmax)
r_0006	( YGR143W or YPR159W )		Yu2021_N30_018R3	353.005715709774	353.00572	353.00572	0
r_0007	YIL020C	EC5.3.1.16	DiBartolomeo2020_GlucR3	79.9336275202189	81.02328	79.93363	0.00588028450407365
r_0014	YOL066C	EC3.5.4.26 EC5.4.99.28	Yu2021_N30_035R3	21.4294429055656	21.42944	21.42944	0
r_0015	YBR153W	EC1.1.1.302	Yu2021_N30_035R2	7.55467278702802	7.55467	7.55467	0
r_0018_fwd	( YER152C or YGL202W or YJL060W )	EC2.6.1.27 EC2.6.1.39 EC2.6.1.5 EC2.6.1.57 EC2.6.1.7	DiBartolomeo2020_GlucR3	10.5174955886898	11.97481	10.5175	0.0563561106580108
r_0019	YHR063C	EC1.1.1.169	Yu2021_N30_035R1	0.0974593425976524	1.25E-01	9.75E-02	0.109124663948874
r_0020	( YDR035W or YBR249C )	EC2.5.1.54	Yu2021_N30_030R1	78.9462835132459	79.86097	31.16654	0.40864598977604
r_0023_rvs	YGL009C	EC4.2.1.33	Yu2021_N30_035R1	13.2770101089433	15.45985	13.27701	0.0661049934795909
r_0025	YNL104C	EC2.3.3.13	Yu2020_CN50R2	23.8167846801467	24.20752	22.4492	0.0327494302440433
r_0026	( YHR208W or YJR148W or YGL202W or YHR137W )	EC2.6.1.27 EC2.6.1.28 EC2.6.1.39 EC2.6.1.42 EC2.6.1.5 EC2.6.1.57 EC2.6.1.58 EC2.6.1.7	Yu2020_ClimR1	0.00281265165837777	3.52E-03	2.81E-03	0.0978363435730511
r_0027_fwd	YDR234W	EC4.2.1.36	DiBartolomeo2020_GlucR3	62.9858055875138	71.71318	62.98581	0.0563562622112438
r_0029	YJR148W	EC2.6.1.42	Yu2020_ClimR2	148.252512731453	148.25251	148.25251	0
r_0032	YOL064C	EC3.1.3.7	Yu2021_N30_030R2	88.4804023115006	104.72295	88.4804	0.073194790289077
r_0038	YDR487C	EC4.1.99.12	Yu2020_CN50R1	0.550362825921112	0.55036	0.55036	0
r_0039	YDR127W	EC1.1.1.25 EC2.5.1.19 EC2.7.1.71 EC4.2.1.10 EC4.2.3.4	Yu2020_CN115R1	155.419151007808	156.89232	151.11053	0.0163069562476593
r_0040	YDR127W	EC1.1.1.25 EC2.5.1.19 EC2.7.1.71 EC4.2.1.10 EC4.2.3.4	Yu2020_CN115R1	155.419151007808	156.89232	151.11053	0.0163069562476593
r_0042	( YBR249C or YDR035W )	EC2.5.1.54	Yu2021_N30_018R1	52.7518232662665	54.25829	46.45935	0.0673929730385649
r_0045	YLR231C	EC3.7.1.3	DiBartolomeo2020_GlucR3	269.926823710379	270.61279	269.92682	0.00110228053658788
r_0058	YJR025C	EC1.13.11.6	Yu2020_ClimR2	62.3091531417675	62.30915	62.30915	0
r_0060_rvs	YGL009C	EC4.2.1.33	Yu2021_N30_035R1	13.2770101089433	15.45985	13.27701	0.0661049934795909
r_0061	YCL018W	EC1.1.1.85	Yu2021_N30_035R3	5.11740625230224	5.20786	5.11741	0.00760908736507915
r_0063	YBR176W	EC2.1.2.11	Yu2021_N30_030R1	0.192026567853378	2.56E-01	1.92E-01	0.1249387366083
r_0065	YDR127W	EC1.1.1.25 EC2.5.1.19 EC2.7.1.71 EC4.2.1.10 EC4.2.3.4	Yu2020_CN115R1	155.419151007808	156.89232	151.11053	0.0163069562476593
r_0066	YNR033W	EC2.6.1.85	DiBartolomeo2020_GlucR3	0.187239156100378	5.2427	1.87E-01	1.44715637458653
r_0067	YMR289W	EC4.1.3.38	DiBartolomeo2020_GlucR3	0.15588408822232	4.36475	1.56E-01	1.44716897652694
r_0075	YLR017W	EC2.4.2.28	Yu2021_N30_035R3	0.527570368261536	9.49627	5.28E-01	1.2552729624352
r_0079	YGR061C	EC6.3.5.3	Yu2021_N30_035R3	69.7039460054422	69.70395	69.70395	0
r_0080	( YGL125W or YPL023C )	EC1.5.1.20	Yu2021_N30_035R2	55.6107889002222	56.46755	55.60293	0.0067012677238798
r_0086	YJR024C	EC4.2.1.109	Yu2021_N30_035R2	0.73663780499152	13.04901	7.37E-01	1.24832226633293
r_0087_fwd	YPR118W	EC5.3.1.23	Yu2021_N30_030R1	0.105003293778636	25.27079	1.05E-01	2.38142951971099
r_0091	( YGR248W or YHR163W )	EC3.1.1.31	Yu2020_CN50R1	1865.64540812214	1873.89658	1847.61278	0.00613466096783088
r_0096	YLR355C	EC1.1.1.86	Yu2021_N30_035R2	5.41490116851502	5.4913	5.4149	0.00608473000291055
r_0103_fwd	YPL028W	EC2.3.1.9	Lahtvee2017_EtOH40	1.71686263360466	2.20453	1.71365	0.109393887936654
r_0103_rvs	YPL028W	EC2.3.1.9	Yu2020_CN30R1	246.454767168124	262.86151	236.74862	0.0454395421662209
r_0104_fwd	YPL028W	EC2.3.1.9	Yu2020_ClimR1	92.4886192016672	111.81808	92.38253	0.0829221791072124
r_0112	( YAL054C or YLR153C )	EC6.2.1.1	DiBartolomeo2020_EtohR1	43.4450512460435	43.45108	43.43313	0.000179447705424821
r_0115	YER069W	EC1.2.1.38 EC2.7.2.8	Yu2021_N30_035R1	8.94816588263132	10.5391	8.94817	0.0710692989651676
r_0118	YOL140W	EC2.6.1.11	Yu2021_N30_035R2	138.574290774928	162.90182	138.57429	0.0702432743192512
r_0127	( YCR048W or YNR019W )	EC2.3.1.26	Yu2021_N30_035R2	7.28144791035583	14.2595	7.241	0.294305750051552
r_0142	YJR105W	EC2.7.1.20	Yu2020_CN115R1	60.9825394078279	67.92523	57.52207	0.0721966113878742
r_0144	YER043C	EC3.3.1.1	DiBartolomeo2020_GlucR3	0.370296367938331	0.38153	0.36945	0.0139730216509248
r_0145	YOL052C	EC4.1.1.50	Yu2021_N30_030R1	0.264195921045711	3.87487	2.64E-01	1.16632432344002
r_0148	( YDL166C or YDR226W )	EC2.7.4.3	DiBartolomeo2020_EtohR1	191.068406158627	191.08971	191.02626	0.000144228387680398
r_0151	YLR359W	EC4.3.2.2	Yu2021_N30_035R1	4.43333961837415	4.43334	4.43334	0
r_0152_fwd	YLR359W	EC4.3.2.2	Yu2021_N30_035R1	4.87954331994794	6.01082	4.87954	0.0905548403033752
r_0153	YNL220W	EC6.3.4.4	Yu2020_CN50R2	7.07152103331394	7.37146	7.07152	0.0180407392485606
r_0154	YKL001C	EC2.7.1.25	Lahtvee2017_EtOH20	10.9833122659866	10.98384	10.98278	4.19137902121542E-05
r_0157	YOR335C	EC6.1.1.7	Yu2021_N30_035R2	20.4719040960758	20.4719	20.4719	0
r_0172	( YMR110C or YMR169C or YMR170C )	EC1.2.1.3 EC1.2.1.5	DiBartolomeo2020_GlucR3	0.0483326780529192	0.5377	4.83E-02	1.04632324133824
r_0173	YPL061W	EC1.2.1.3 EC1.2.1.4	DiBartolomeo2020_EtohR1	6.1002521825566	6.13258	5.90412	0.016488046472974
r_0202	YDR354W	EC2.4.2.18	DiBartolomeo2020_GlucR3	29.4135884559826	30.16816	29.41359	0.0110007882930007
r_0206	YPL111W	EC3.5.3.1	Lahtvee2017_Temp38	1393.84837737447	1393.92632	1393.79641	4.04769065286244E-05
r_0207_fwd	YHR018C	EC4.3.2.1	Yu2021_Ile_stdR3	117.83678700756	118.83232	117.83379	0.00366472954025069
r_0208_fwd	YOL058W	EC6.3.4.5	Lahtvee2017_Temp38	51.89259034497	52.3134	51.89067	0.00352366876780923
r_0209	YDR341C	EC6.1.1.19	Yu2021_N30_035R1	6.90208610131612	6.90209	6.90209	0
r_0211	( YGR124W or YPR145W )	EC6.3.5.4	Yu2020_CN50R2	4.04835389469083	4.41749	4.04835	0.037897522681242
r_0212	YHR019C	EC6.1.1.22	DiBartolomeo2020_GlucR3	4.70100072001098	4.701	4.701	0
r_0214	YJL130C	EC2.1.3.2 EC6.3.5.5	Yu2021_N30_035R3	4.7042447142884	4.70512	4.70424	8.1233823594609E-05
r_0215	YER052C	EC2.7.2.4	Yu2021_N30_030R1	14.5745304084574	14.86176	14.57453	0.00847568516756579
r_0216_rvs	YLR027C	EC2.6.1.1	Yu2021_Ile_stdR1	70.1779921077623	70.63723	69.71807	0.00568830422151001
r_0219	YDR158W	EC1.2.1.11	Yu2020_CN50R1	4.00054768223925	4.13114	4.00055	0.0139502102961247
r_0220	YLL018C	EC6.1.1.12	Yu2021_N30_035R3	26.2058349026263	26.20583	26.20583	0
r_0225	YER055C	EC2.4.2.17	Yu2021_N30_035R3	1.87152342709191	1.87216	1.87152	0.000148489438801269
r_0231	YNL280C	EC1.3.1.70	Yu2021_N30_035R1	505.132292194417	514.52282	505.13229	0.00799951008207299
r_0234	YGL001C	EC1.1.1.170	DiBartolomeo2020_GlucR3	4.41798248760177	4.42983	4.41798	0.00116331446712612
r_0235	YGL001C	EC1.1.1.170	DiBartolomeo2020_GlucR3	4.41798248760177	4.42983	4.41798	0.00116331446712612
r_0236	YLR100W	EC1.1.1.270	Yu2020_CN115R1	9.01079094180053	9.01079	9.01079	0
r_0237	YLR100W	EC1.1.1.270	Yu2020_CN115R1	9.01079094180053	9.01079	9.01079	0
r_0238	YGR060W	EC1.14.18.9	Yu2021_Phe_stdR1	9.27222257189549	9.27222	9.27222	0
r_0239	YGR060W	EC1.14.18.9	Yu2021_Phe_stdR1	9.27222257189549	9.27222	9.27222	0
r_0240	YGR060W	EC1.14.18.9	Yu2021_Phe_stdR1	9.27222257189549	9.27222	9.27222	0
r_0241	YGR060W	EC1.14.18.9	Yu2021_Phe_stdR1	9.27222257189549	9.27222	9.27222	0
r_0244	YGL012W	EC1.3.1.71	Yu2021_N30_030R3	107.175784504513	107.17578	107.17578	0
r_0252	( YAR035W or YER024W )	EC2.3.1.7	Lahtvee2017_EtOH60	338.481628466505	338.56876	334.86578	0.00477611376683605
r_0278	YPR060C	EC5.4.99.5	Yu2020_CN115R1	78.2968860938036	79.1579	75.77865	0.0189474001462613
r_0279	YGL148W	EC4.2.3.5	Yu2020_CN115R1	97.2187187547501	98.14022	94.52357	0.0163069113403921
r_0280_fwd	YLR304C	EC4.2.1.3	Yu2020_ClimR1	111.446479459522	112.043	98.88461	0.0542560237074568
r_0300	( YNR001C or YPR001W )	EC2.3.3.1	Yu2021_N30_035R3	68.1373165669892	73.65177	67.4828	0.0379900942118135
r_0302_fwd	YLR304C	EC4.2.1.3	Yu2020_ClimR1	111.446479459522	112.043	98.88461	0.0542560237074568
r_0303_fwd	YLR304C	EC4.2.1.3	Yu2021_N30_035R3	45.1373340583295	46.49711	43.77756	0.0261744084844363
r_0307	( YBL039C or YJR103W )	EC6.3.4.2	Yu2021_N30_035R3	18.0866271906504	19.56324	11.88036	0.216611181959296
r_0309	YGR155W	EC4.2.1.22	Yu2020_ClimR1	0.0939170199184256	0.10312	0.08655	0.076075832133934
r_0313	YNL247W	EC6.1.1.16	Yu2021_N30_030R2	2.35986818414081	2.35987	2.35987	0
r_0330_rvs	YDR454C	EC2.7.4.8	Yu2020_ClimR1	0.193758755291578	3.9535	0.11543	1.53466304747475
r_0344	YOR236W	EC1.5.1.3	Lahtvee2017_Temp38	0.430188949571696	0.44214	0.43019	0.0118994961485655
r_0346	YMR113W	EC6.3.2.12	DiBartolomeo2020_GlucR3	0.380924106969926	3.81E-01	3.81E-01	0
r_0347	YNL256W	EC2.5.1.15 EC2.7.6.3 EC4.1.2.25	Yu2020_CN50R2	0.0739852713231079	7.40E-02	7.40E-02	0
r_0349_rvs	YLR420W	EC3.5.2.3	Yu2021_N30_035R2	95.4446282331001	141.05161	95.44463	0.169626548958429
r_0352	YJR016C	EC4.2.1.9	Yu2021_N30_035R1	25.8105851810988	26.18016	25.81059	0.00617436428984505
r_0353	YJR016C	EC4.2.1.9	Yu2021_N30_035R1	8.86329169612798	9.12091	8.86329	0.0124432110581176
r_0355	YJL167W	EC2.5.1.1 EC2.5.1.10	Yu2020_ClimR1	2.55549958431608	2.5555	2.5555	0
r_0361	YPR183W	EC2.4.1.83	Yu2020_CN50R2	28.0861210732726	28.08612	28.08612	0
r_0366_fwd	( YPL281C or YGR254W or YHR174W or YMR323W or YOR393W )	EC4.2.1.11	Yu2020_CN50R2	109.318870551304	110.56078	109.18269	0.00544730388604465
r_0446_fwd	YGR204W	EC1.5.1.5 EC3.5.4.9 EC6.3.4.3	DiBartolomeo2020_EtohR1	10.6102655376079	11.2644	10.61027	0.0259816283610422
r_0446_rvs	YGR204W	EC1.5.1.5 EC3.5.4.9 EC6.3.4.3	Yu2021_Ile_stdR2	163.796214071247	164.73621	162.85622	0.00498471986295365
r_0447_rvs	YBR084W	EC1.5.1.5 EC3.5.4.9 EC6.3.4.3	Yu2020_CN50R2	209.263730393792	226.89216	82.10955	0.441425817600594
r_0450_fwd	YKL060C	EC4.1.2.13	Yu2020_CN50R1	58.2858659473876	58.80089	57.8119	0.00736665674404598
r_0451_fwd	YPL262W	EC4.2.1.2	Lahtvee2017_Temp38	288.942945861066	291.60111	284.35213	0.0109326870459824
r_0452_fwd	YPL262W	EC4.2.1.2	Lahtvee2017_Temp38	334.656858859655	337.31805	334.62051	0.00348702426155427
r_0453	YKL216W	EC1.3.98.1	Yu2021_N30_035R3	41.1414876259462	41.14916	41.14149	8.09578897686806E-05
r_0462	YJL167W	EC2.5.1.1 EC2.5.1.10	Yu2020_ClimR1	2.55549958431608	2.5555	2.5555	0
r_0466	YNL241C	EC1.1.1.363 EC1.1.1.49	Yu2021_N30_035R3	691.101011809391	695.12307	682.30783	0.00808134710658011
r_0467_fwd	YBR196C	EC5.3.1.9	DiBartolomeo2020_GlucR3	190.935360278775	191.24901	190.7501	0.0011344214030491
r_0468	YDR300C	EC2.7.2.11	Yu2021_N30_035R2	215.678365954014	228.43189	178.73289	0.106552255348386
r_0471	( YAL062W or YOR375C )	EC1.4.1.4	Yu2021_std_010R1	15.9901484097426	15.99167	15.94712	0.00121155696359522
r_0473	YOR323C	EC1.2.1.41	Yu2020_ClimR1	27.784176447815	27.85872	26.53176	0.0211950982820313
r_0476	YPR035W	EC6.3.1.2	Lahtvee2017_Temp38	5674.04088046663	5674.2487	5674.04088	1.59063757763707E-05
r_0478	YOR168W	EC6.1.1.18	Yu2021_N30_035R2	13.4978148054275	13.49781	13.49781	0
r_0479	YGL245W	EC6.1.1.17	DiBartolomeo2020_GlucR3	5.75533403830206	5.75533	5.75533	0
r_0486_fwd	( YGR192C or YJL052W or YJR009C )	EC1.2.1.12	Yu2020_CN30R1	1177.77001290009	1179.6641	1176.37388	0.00121299005473423
r_0489	( YER062C or YIL053W )	EC3.1.3.21	Yu2020_CN115R1	89.0477621813235	89.89748	88.76243	0.00551833462791814
r_0499	YDR408C	EC2.1.2.2	Yu2020_CN115R1	55.2835171691724	55.28352	55.28352	0
r_0502_fwd	YLR058C	EC2.1.2.1	Yu2021_Ile_stdR2	12.961570440027	13.03243	12.89071	0.00474856264764678
r_0512	( YBR121C or YPR081C )	EC2.7.7.- EC6.1.1.14	Yu2020_CN115R1	11.8545613281243	11.85456	11.85456	0
r_0514	YMR217W	EC6.3.5.2	Yu2020_ClimR1	3.02162803881305	3.03762	3.02483	0.00183247190971795
r_0524	YGR267C	EC3.5.4.16	Yu2021_N30_035R1	0.0136637830421244	1.37E-02	1.37E-02	0
r_0525	YBL033C	EC3.5.4.25	Yu2020_CN50R2	10.1455323375987	10.14553	10.14553	0
r_0534	( YLR446W or YCL040W or YFR053C or YGL253W or YDR516C )	EC2.7.1.1 EC2.7.1.2	Yu2021_N30_035R2	262.046823076696	262.12546	262.04682	0.00013031180631334
r_0536	YCL030C	EC1.1.1.23 EC3.5.4.19 EC3.6.1.31	Yu2020_ClimR2	5.2838655757802	5.28387	5.28387	0
r_0537	YFR025C	EC3.1.3.15	Yu2021_N30_035R2	225.310797981897	225.39016	225.3108	0.000152942254394357
r_0538	YIL116W	EC2.6.1.9	Yu2021_N30_035R2	5.73890306396954	5.74092	5.7389	0.000152837738309246
r_0539	YPR033C	EC6.1.1.21	Yu2021_Gln_glc1R2	23.1284476408359	23.12845	23.12845	0
r_0542_fwd	( YJL200C or YDR234W )	EC4.2.1.- EC4.2.1.36	DiBartolomeo2020_GlucR3	13.1652472285226	14.98944	13.16525	0.0563562975627552
r_0545	YIL094C	EC1.1.1.87	Yu2021_N30_035R1	7.49423619023018	7.49547	7.49424	7.12731885993534E-05
r_0546	YJR139C	EC1.1.1.3	Yu2020_ClimR1	8.93670467567307	8.95628	8.83882	0.00573337275058373
r_0548	YHR025W	EC2.7.1.39	Yu2020_CN50R2	15.7749489843895	16.43876	15.77495	0.0179010635775761
r_0549	YNL277W	EC2.3.1.31 EC2.3.1.46	Yu2021_N30_035R3	32.4458725947404	35.38111	32.44587	0.0376120299907581
r_0558	( YLR450W or YML075C )	EC1.1.1.34	Yu2021_N30_035R2	50.1826145296442	52.86541	50.18261	0.0226183595025565
r_0559	YML126C	EC2.3.3.10	Lahtvee2017_EtOH60	0.789289665305153	0.78929	0.78856	0.000401856950166092
r_0560	YML126C	EC2.3.3.10	Yu2020_CN115R1	2.91481223789747	3.05841	2.85816	0.0294091680427105
r_0563	YBR248C	EC3.5.1.2 EC4.3.2.10	Yu2020_ClimR1	22.8565477680388	22.85655	22.85655	0
r_0564	YOR202W	EC4.2.1.19	DiBartolomeo2020_GlucR3	27.8741198065725	28.2541	27.87412	0.00588031255437348
r_0565	( YHR216W or YLR432W or YML056C )	EC1.1.1.205	Lahtvee2017_EtOH20	12.9485701292914	12.94857	12.94857	0
r_0566	YKL211C	EC4.1.1.48 EC4.1.3.27	Yu2020_CN115R1	17.8490157820259	19.16067	17.84902	0.0307963150087898
r_0569	YMR267W	EC3.6.1.1	Yu2020_CN50R2	9671.0200199329	9708.6493	9571.30538	0.00618764064254976
r_0570_fwd	( YLR028C or YMR120C )	EC2.1.2.3 EC3.5.4.10	Yu2020_ClimR1	6.39731465942537	7.4203	6.39731	0.0644240677882427
r_0662	YER065C	EC4.1.3.1 EC4.1.3.30	Yu2021_N30_035R1	7656.76896790977	7833.65413	7581.61958	0.0142024035376952
r_0663_fwd	YJR148W	EC2.6.1.42	Yu2021_Ile_stdR3	373.823979685757	374.63451	373.82398	0.000940623558221259
r_0663_rvs	YJR148W	EC2.6.1.42	Yu2020_ClimR2	96.3841362282106	117.61362	96.11167	0.0876814937660729
r_0665	YBL076C	EC6.1.1.5	Yu2021_N30_035R3	20.2971887589014	20.29719	20.29719	0
r_0667_fwd	YPL117C	EC5.3.3.2	Yu2021_N30_035R1	13.4733163220347	24.23735	13.47332	0.255010509657753
r_0669	YLR355C	EC1.1.1.86	Yu2021_N30_035R2	1.8594699210345	1.91288	1.85947	0.0122985504399876
r_0671	YBL098W	EC1.14.13.9	Yu2020_CN115R1	105.520349833101	105.52035	105.52035	0
r_0694	YJR078W	EC1.13.11.52	Yu2021_N30_030R2	257.002627549756	279.53899	257.00263	0.0365048240438375
r_0698	YHR072W	EC5.4.99.7	Yu2021_N30_035R3	155.317502076204	158.3252	155.3175	0.00832965381071931
r_0699_rvs	YJR148W	EC2.6.1.42	Yu2020_ClimR2	148.252512731453	169.57091	148.25251	0.0583492958562917
r_0701	YPL160W	EC6.1.1.4	Yu2021_N30_030R2	32.7981905665702	32.79819	32.79819	0
r_0711	YDR037W	EC6.1.1.6	Yu2020_ClimR2	11.3275416275841	11.32754	11.32754	0
r_0713_fwd	YKL085W	EC1.1.1.37	Yu2020_ClimR2	2220.51026726334	2457.18515	2218.5847	0.0443618683532239
r_0714_fwd	YOL126C	EC1.1.1.37	Lahtvee2017_Temp38	1678.21048197872	1692.47849	1663.93434	0.00738697313687843
r_0714_rvs	YOL126C	EC1.1.1.37	DiBartolomeo2020_GlucR3	30.1465765103692	31.81821	28.81889	0.0429984945141722
r_0718	YKL029C	EC1.1.1.38	Yu2021_Gln_glc1R2	342.89140803835	343.18965	237.35812	0.160130088327875
r_0722	YDL055C	EC2.7.7.13	Yu2020_ClimR1	140.587416753621	140.58742	140.58742	0
r_0723_rvs	YER003C	EC5.3.1.8	Yu2020_CN115R1	60.0845267405379	62.64588	60.08453	0.018129845908852
r_0724_fwd	YBR084W	EC1.5.1.5 EC3.5.4.9 EC6.3.4.3	Yu2020_CN50R2	209.263730393792	226.89216	82.10955	0.441425817600594
r_0725_fwd	YGR204W	EC1.5.1.5 EC3.5.4.9 EC6.3.4.3	Yu2021_Ile_stdR2	169.338939127305	170.27893	168.39895	0.00482153322875365
r_0726	( YDR502C or YLR180W )	EC2.5.1.6	Yu2020_CN50R1	10.5102481116106	10.92976	10.51025	0.0169975792325114
r_0727	YER091C	EC2.1.1.14	Yu2020_CN115R1	1.24333667363482	1.26412	1.24298	0.00732416173634307
r_0729	YGR264C	EC6.1.1.10	Yu2021_N30_035R2	8.62031249902074	8.62031	8.62031	0
r_0731	YKR080W	EC1.5.1.15	Yu2021_N30_030R2	2782.50599269735	2901.2437	1923.18321	0.178563551591631
r_0732_fwd	YGR204W	EC1.5.1.5 EC3.5.4.9 EC6.3.4.3	Yu2021_Gln_glc1R1	91.4934344891513	100.02038	66.88397	0.174766456790476
r_0733_fwd	YBR084W	EC1.5.1.5 EC3.5.4.9 EC6.3.4.3	Yu2020_CN50R2	209.263730393792	226.89216	82.10955	0.441425817600594
r_0735	YMR208W	EC2.7.1.36	Yu2021_N30_035R1	528.861010507051	538.90008	247.28896	0.338303519971663
r_0739	YNR043W	EC4.1.1.33	Yu2021_N30_018R3	42.9368206289777	42.93682	42.93682	0
r_0757	( YDR287W or YHR046C )	EC3.1.3.25	Yu2021_N30_018R2	15.7901079970123	29.26433	15.79011	0.267953430011499
r_0758	YJL153C	EC5.5.1.4	DiBartolomeo2020_GlucR3	0.970918673508175	1.17296	0.90638	0.111972888256216
r_0759	YER069W	EC1.2.1.38 EC2.7.2.8	Yu2021_N30_035R1	8.94816588263132	10.5391	8.94817	0.0710692989651676
r_0762	YDR428C	EC3.5.1.9	DiBartolomeo2020_GlucR3	155.921322043647	161.03945	155.92132	0.0140267758529401
r_0768	YHR074W	EC6.3.5.1	DiBartolomeo2020_GlucR3	63.4594174181931	63.62069	63.45942	0.00110227648834919
r_0770	( YDL085W or YMR145C )	EC1.6.5.9	Yu2020_CN115R1	2506.86791007364	2509.97644	1744.04097	0.158112962065921
r_0773	YML120C	EC1.6.5.9	Yu2021_N30_010R1	6836.0746252639	6990.52076	6618.03671	0.0237803579444273
r_0785	( YGR010W or YLR328W )	EC2.7.7.1 EC2.7.7.18	Yu2020_CN50R2	171.325896413115	171.3259	171.3259	0
r_0786	YFR047C	EC2.4.2.19	DiBartolomeo2020_GlucR3	16.1890071223809	16.23015	16.18901	0.00110224228982216
r_0795	YKL067W	EC2.7.4.6	Yu2021_N30_030R3	1.1978543475811	7.79814	0.74509	1.01978229312567
r_0800	YKL067W	EC2.7.4.6	Yu2021_N30_035R2	73.5072862818055	83.21197	73.50729	0.0538553919568794
r_0811	YKL067W	EC2.7.4.6	Yu2021_N30_030R2	124.405217714078	164.26833	120.81521	0.133432228878653
r_0813	YLR303W	EC2.5.1.47 EC2.5.1.49	Yu2021_N30_013R2	0.183620767325433	0.18506	0.11966	0.189363559325417
