rxn,Nsubs,OnlySubResults,nOtherMets,nOneComb,OneMetResults,nTwoComb,TwoMetResults,nThreeComb,ThreeMetResults
r_0018_f,2,0.2513059879169931,2740,79,"(('s_1203[c]',), 0.3024155662646339)",3081,"(('s_0421[m]', 's_1005[m]'), 0.3476831877329978)",79079,"(('s_0421[m]', 's_1005[m]', 's_1203[c]'), 0.4570787237822781)"
r_0019,3,0.282246093570189,2739,78,"(('s_0629[c]',), 0.3926463820689964)",3003,"(('s_0421[m]', 's_1005[m]'), 0.5856240518780049)",76076,"(('s_0629[c]', 's_1005[m]', 's_1488[m]'), 0.6971445180031189)"
r_0020,3,-0.16362665381295416,2739,69,"(('s_0767[c]',), 0.259322248675853)",2346,"(('s_0522[c]', 's_0767[c]'), 0.3089503938029062)",52394,"(('s_0362[c]', 's_0767[c]', 's_0529[c]'), 0.3786007566697717)"
r_0026,2,0.42452035926830983,2740,71,"(('s_1203[c]',), 0.5110894383694264)",2485,"(('s_1198[c]', 's_0445[c]'), 0.5527307705232778)",57155,"(('s_0767[c]', 's_1198[c]', 's_1460[m]'), 0.6053186991713523)"
r_0032,2,-0.30994508870917303,2740,67,"(('s_0056[c]',), -0.11083618666467476)",2211,"(('s_1360[c]', 's_0188[c]'), 0.13556672356904817)",47905,"(('s_0362[c]', 's_1360[c]', 's_0188[c]'), 0.46326130713995217)"
r_0045,2,0.26430949485052546,2740,79,"(('s_1198[c]',), 0.37578250102082966)",3081,"(('s_1203[c]', 's_1324[e]'), 0.4793254684075528)",79079,"(('s_1203[c]', 's_0767[c]', 's_1324[e]'), 0.5290129690249925)"
r_0058,2,-0.11628919871955132,2740,76,"(('s_1005[m]',), 0.08212755201482957)",2850,"(('s_0767[c]', 's_1003[c]'), 0.26226117112413305)",70300,"(('s_1442[c]', 's_0767[c]', 's_1003[c]'), 0.293323928214288)"
r_0061,2,0.3764470417125255,2740,78,"(('s_1460[m]',), 0.42110785322109834)",3003,"(('s_1005[m]', 's_1042[m]'), 0.5394950335369751)",76076,"(('s_0629[c]', 's_0362[c]', 's_0529[c]'), 0.6318944795190106)"
r_0063,3,0.4892443765599201,2739,80,"(('s_1056[c]',), 0.7351646855616902)",3160,"(('s_0373[c]', 's_0362[c]'), 0.7926343696459555)",82160,"(('s_1203[c]', 's_1058[m]', 's_0362[c]'), 0.8138796984901674)"
r_0065,2,0.0588260323128313,2740,76,"(('s_0767[c]',), 0.3067050425156789)",2850,"(('s_0362[c]', 's_0373[c]'), 0.45467799361742267)",70300,"(('s_0362[c]', 's_0373[c]', 's_0767[c]'), 0.6311679978723089)"
r_0075,2,-1.6574185417193532,2740,73,"(('s_0767[c]',), -1.1799589056677007)",2628,"(('s_0796[e]', 's_0767[c]'), -0.7486959433812136)",62196,"(('s_0796[e]', 's_0767[c]', 's_0629[c]'), -0.249190786294801)"
r_0080,3,0.05078655793908551,2739,75,"(('s_0551[c]',), 0.20612222380753123)",2775,"(('s_1182[m]', 's_0551[c]'), 0.24186334309493734)",67525,"(('s_1487[c]', 's_0837[c]', 's_0066[c]'), 0.2874194629246904)"
r_0091,2,0.15379726040668174,2740,72,"(('s_1203[c]',), 0.5984816536471935)",2556,"(('s_1198[c]', 's_0075[c]'), 0.7819246976702053)",59640,"(('s_0767[c]', 's_1198[c]', 's_0075[c]'), 0.8053100357261197)"
r_0096,3,0.13018619483219976,2739,73,"(('s_0725[c]',), 0.19539850862269917)",2628,"(('s_0362[c]', 's_0373[c]'), 0.5173524096819255)",62196,"(('s_0362[c]', 's_0725[c]', 's_0767[c]'), 0.564593226652814)"
r_0112,3,0.4294081989077264,2739,63,"(('s_0260[c]',), 0.5091214487390248)",1953,"(('s_0767[c]', 's_0188[c]'), 0.5844415633807423)",39711,"(('s_1360[c]', 's_0767[c]', 's_0188[c]'), 0.6278372049349461)"
r_0115,2,0.01980828913994015,2740,81,"(('s_1016[c]',), 0.10027740594603018)",3240,"(('s_0362[c]', 's_0529[c]'), 0.19498831712873282)",85320,"(('s_0376[m]', 's_1032[c]', 's_1042[m]'), 0.2704985885105953)"
r_0118,2,0.09671570138677221,2740,76,"(('s_0725[c]',), 0.14218527912554216)",2850,"(('s_0362[c]', 's_0725[c]'), 0.4286320102973901)",70300,"(('s_0362[c]', 's_0725[c]', 's_1016[c]'), 0.45702771746729187)"
r_0127,2,0.1971898066617585,2740,80,"(('s_1360[c]',), 0.3747729172890725)",3160,"(('s_0188[c]', 's_0529[c]'), 0.5045660940412906)",82160,"(('s_0075[c]', 's_0727[m]', 's_0016[m]'), 0.6254862106412589)"
r_0144,2,0.2785228962730514,2740,82,"(('s_0722[c]',), 0.5221481849611875)",3321,"(('s_1005[m]', 's_1042[m]'), 0.5475920346585726)",88560,"(('s_1005[m]', 's_1042[m]', 's_0727[m]'), 0.6158480067303185)"
r_0145,2,0.23938831911855202,2740,77,"(('s_0304[c]',), 0.3485645387734916)",2926,"(('s_0764[c]', 's_0376[m]'), 0.4242212999989504)",73150,"(('s_0376[m]', 's_0260[c]', 's_0362[c]'), 0.46580692728594003)"
r_0148,2,-0.4953557923255515,2740,77,"(('s_0362[c]',), 0.17966437938312657)",2926,"(('s_1422[c]', 's_0362[c]'), 0.22721423356205542)",73150,"(('s_0120[c]', 's_0304[c]', 's_0362[c]'), 0.44911524476881937)"
r_0153,3,0.2162443475891295,2739,76,"(('s_1203[c]',), 0.31793395226454113)",2850,"(('s_0767[c]', 's_0529[c]'), 0.3776618711377827)",70300,"(('s_0362[c]', 's_0629[c]', 's_0529[c]'), 0.5567768555636508)"
r_0154,2,0.18705234440577437,2740,68,"(('s_1427[c]',), 0.2511870800620738)",2278,"(('s_0767[c]', 's_0359[c]'), 0.4356617827159271)",50116,"(('s_0767[c]', 's_1324[e]', 's_0359[c]'), 0.6475724627848436)"
r_0172,3,0.8283825803444669,2739,72,"(('s_1324[e]',), 0.880855024703729)",2556,"(('s_1427[c]', 's_0551[c]'), 0.9241928138631585)",59640,"(('s_0522[c]', 's_0551[c]', 's_0577[c]'), 0.9494981472172508)"
