Rxn,Condition,Abundance(mmol/gCDW)
r_0003_f,Lahtvee2017_Temp36,4.994085659249419e-06
r_0007,Lahtvee2017_Temp36,7.697848090335436e-07
r_0012,Lahtvee2017_Temp36,3.3887595533045496e-06
r_0017,Lahtvee2017_Temp36,7.813268352706742e-08
r_0018_f,Lahtvee2017_Temp36,8.963978415808702e-06
r_0019,Lahtvee2017_Temp36,5.984322989040186e-07
r_0020,Lahtvee2017_Temp36,6.815051436399867e-06
r_0023_f,Lahtvee2017_Temp36,1.0186534219528395e-05
r_0024,Lahtvee2017_Temp36,1.7030070707406176e-07
r_0026,Lahtvee2017_Temp36,3.374286506808369e-05
r_0027_f,Lahtvee2017_Temp36,5.4479328429093325e-06
r_0029,Lahtvee2017_Temp36,7.772831291929593e-06
r_0030,Lahtvee2017_Temp36,1.5910967417801397e-05
r_0032,Lahtvee2017_Temp36,5.545437432746596e-06
r_0033,Lahtvee2017_Temp36,1.4161668349385585e-06
r_0034,Lahtvee2017_Temp36,3.629621667220193e-07
r_0035,Lahtvee2017_Temp36,3.629621667220193e-07
r_0036,Lahtvee2017_Temp36,3.629621667220193e-07
r_0037,Lahtvee2017_Temp36,3.629621667220193e-07
r_0038,Lahtvee2017_Temp36,3.0269000564596477e-05
r_0039,Lahtvee2017_Temp36,2.3078335204251083e-06
r_0040,Lahtvee2017_Temp36,2.3078335204251083e-06
r_0042,Lahtvee2017_Temp36,6.815051436399867e-06
r_0045,Lahtvee2017_Temp36,9.140876336765194e-07
r_0058,Lahtvee2017_Temp36,1.334265637163733e-07
r_0059,Lahtvee2017_Temp36,8.45672990534706e-07
r_0060_f,Lahtvee2017_Temp36,1.0186534219528395e-05
r_0061,Lahtvee2017_Temp36,2.64221064264364e-05
r_0062,Lahtvee2017_Temp36,0.00010688502568913983
r_0063,Lahtvee2017_Temp36,5.725507814679509e-07
r_0064,Lahtvee2017_Temp36,0.00010688502568913983
r_0065,Lahtvee2017_Temp36,2.3078335204251083e-06
r_0067,Lahtvee2017_Temp36,6.302547323148456e-07
r_0068,Lahtvee2017_Temp36,2.452296717037529e-06
r_0069,Lahtvee2017_Temp36,1.7977364496844902e-05
r_0073,Lahtvee2017_Temp36,3.196331413151777e-07
r_0075,Lahtvee2017_Temp36,2.0277902524078378e-07
r_0076,Lahtvee2017_Temp36,3.1421933161740287e-07
r_0077,Lahtvee2017_Temp36,5.342318626702092e-07
r_0078,Lahtvee2017_Temp36,3.1421933161740287e-07
r_0079,Lahtvee2017_Temp36,1.1652256154101629e-05
r_0080,Lahtvee2017_Temp36,2.1100787922617074e-06
r_0081,Lahtvee2017_Temp36,1.0519952658585188e-06
r_0085,Lahtvee2017_Temp36,6.427653852540684e-05
r_0086,Lahtvee2017_Temp36,7.636489237794753e-07
r_0087_f,Lahtvee2017_Temp36,1.973234274327466e-06
r_0088_f,Lahtvee2017_Temp36,3.196331413151777e-07
r_0089_f,Lahtvee2017_Temp36,3.196331413151777e-07
r_0091,Lahtvee2017_Temp36,4.185468030554633e-06
r_0092,Lahtvee2017_Temp36,3.196331413151777e-07
r_0095,Lahtvee2017_Temp36,0.00010688502568913983
r_0096,Lahtvee2017_Temp36,8.798978596811691e-05
r_0099_f,Lahtvee2017_Temp36,3.1519626220524743e-06
r_0103_f,Lahtvee2017_Temp36,4.925412837927599e-06
r_0104_f,Lahtvee2017_Temp36,4.925412837927599e-06
r_0111,Lahtvee2017_Temp36,1.9886918249750914e-05
r_0112,Lahtvee2017_Temp36,2.126904262703421e-05
r_0114,Lahtvee2017_Temp36,2.126904262703421e-05
r_0115,Lahtvee2017_Temp36,9.314634594818996e-06
r_0117_f,Lahtvee2017_Temp36,7.0081774692793095e-06
r_0118,Lahtvee2017_Temp36,3.093265157754899e-06
r_0127,Lahtvee2017_Temp36,3.6130348787778144e-07
r_0132_f,Lahtvee2017_Temp36,3.6130348787778144e-07
r_0138,Lahtvee2017_Temp36,2.650914697774825e-07
r_0139,Lahtvee2017_Temp36,8.674502944204584e-06
r_0140,Lahtvee2017_Temp36,2.650914697774825e-07
r_0142,Lahtvee2017_Temp36,1.72478824476918e-05
r_0143,Lahtvee2017_Temp36,4.42650274327466e-07
r_0144,Lahtvee2017_Temp36,6.833136680504816e-05
r_0145,Lahtvee2017_Temp36,1.5055619352374626e-06
r_0148,Lahtvee2017_Temp36,2.1049801931750248e-05
r_0151,Lahtvee2017_Temp36,4.42570670043175e-05
r_0152_f,Lahtvee2017_Temp36,4.42570670043175e-05
r_0153,Lahtvee2017_Temp36,1.9204920425107938e-05
r_0154,Lahtvee2017_Temp36,2.3132094636333443e-05
r_0156,Lahtvee2017_Temp36,5.103458646629027e-06
r_0164,Lahtvee2017_Temp36,6.21990274327466e-06
r_0165,Lahtvee2017_Temp36,1.473994826801727e-05
r_0166,Lahtvee2017_Temp36,1.7589291295250746e-06
r_0167,Lahtvee2017_Temp36,1.473994826801727e-05
r_0168,Lahtvee2017_Temp36,7.474850066423114e-06
r_0169,Lahtvee2017_Temp36,1.7589291295250746e-06
r_0170,Lahtvee2017_Temp36,1.473994826801727e-05
r_0171,Lahtvee2017_Temp36,5.059401549319163e-06
r_0172,Lahtvee2017_Temp36,9.259662703088675e-06
r_0173,Lahtvee2017_Temp36,8.575281268681502e-05
r_0174,Lahtvee2017_Temp36,0.00031475988043839256
r_0175,Lahtvee2017_Temp36,0.0003186099464048489
r_0176,Lahtvee2017_Temp36,0.00031475988043839256
r_0177,Lahtvee2017_Temp36,8.575281268681502e-05
r_0178,Lahtvee2017_Temp36,0.0003186099464048489
r_0179,Lahtvee2017_Temp36,1.7589291295250746e-06
r_0180,Lahtvee2017_Temp36,1.473994826801727e-05
r_0181,Lahtvee2017_Temp36,5.059401549319163e-06
r_0182,Lahtvee2017_Temp36,1.7589291295250746e-06
r_0183,Lahtvee2017_Temp36,1.473994826801727e-05
r_0184,Lahtvee2017_Temp36,5.059401549319163e-06
r_0185,Lahtvee2017_Temp36,2.2372171670541348e-07
r_0186,Lahtvee2017_Temp36,1.7589291295250746e-06
r_0187,Lahtvee2017_Temp36,1.473994826801727e-05
r_0192,Lahtvee2017_Temp36,3.617821001328462e-07
r_0194,Lahtvee2017_Temp36,5.61210431086018e-07
r_0201,Lahtvee2017_Temp36,0.00031475988043839256
r_0202,Lahtvee2017_Temp36,1.4991127107273331e-06
r_0204_f,Lahtvee2017_Temp36,7.954969096645633e-07
r_0205,Lahtvee2017_Temp36,3.8044542261707076e-06
r_0206,Lahtvee2017_Temp36,3.2816282165393555e-07
r_0207_f,Lahtvee2017_Temp36,1.1776656054466954e-05
r_0208_f,Lahtvee2017_Temp36,1.7138290302225175e-05
r_0209,Lahtvee2017_Temp36,7.485136210561275e-06
r_0210,Lahtvee2017_Temp36,8.436525846894719e-08
r_0211,Lahtvee2017_Temp36,9.205433170043176e-06
r_0212,Lahtvee2017_Temp36,1.0137523724676187e-05
r_0214,Lahtvee2017_Temp36,1.2338283978744604e-05
r_0215,Lahtvee2017_Temp36,6.811296947857855e-06
r_0216_f,Lahtvee2017_Temp36,1.4140938538691466e-05
r_0217,Lahtvee2017_Temp36,1.8574764413816008e-07
r_0218_f,Lahtvee2017_Temp36,1.4140938538691466e-05
r_0219,Lahtvee2017_Temp36,7.988536431418134e-06
r_0220,Lahtvee2017_Temp36,4.783605720690801e-06
r_0223,Lahtvee2017_Temp36,2.6676987827964133e-06
r_0224,Lahtvee2017_Temp36,2.6676987827964133e-06
r_0225,Lahtvee2017_Temp36,9.198876702092327e-06
r_0233,Lahtvee2017_Temp36,7.316649227831285e-07
r_0234,Lahtvee2017_Temp36,9.488934332447692e-07
r_0235,Lahtvee2017_Temp36,9.488934332447692e-07
r_0236,Lahtvee2017_Temp36,1.8355244885420127e-06
r_0237,Lahtvee2017_Temp36,1.8355244885420127e-06
r_0238,Lahtvee2017_Temp36,1.022250546330123e-05
r_0239,Lahtvee2017_Temp36,1.022250546330123e-05
r_0240,Lahtvee2017_Temp36,1.022250546330123e-05
r_0241,Lahtvee2017_Temp36,1.022250546330123e-05
r_0242,Lahtvee2017_Temp36,1.3047799304217868e-07
r_0244,Lahtvee2017_Temp36,2.850888251411491e-07
r_0252,Lahtvee2017_Temp36,1.0661565552972435e-06
r_0260,Lahtvee2017_Temp36,1.0411162854533377e-07
r_0262,Lahtvee2017_Temp36,1.0411162854533377e-07
r_0267,Lahtvee2017_Temp36,1.0411162854533377e-07
r_0268,Lahtvee2017_Temp36,1.0411162854533377e-07
r_0269,Lahtvee2017_Temp36,1.0411162854533377e-07
r_0270,Lahtvee2017_Temp36,1.0411162854533377e-07
r_0273,Lahtvee2017_Temp36,7.943298241448024e-07
r_0274,Lahtvee2017_Temp36,2.371072359681169e-07
r_0278,Lahtvee2017_Temp36,9.16469504649618e-07
r_0279,Lahtvee2017_Temp36,4.058772477582199e-06
r_0280_f,Lahtvee2017_Temp36,4.08098447525739e-05
r_0281,Lahtvee2017_Temp36,1.9680937927598805e-07
r_0282,Lahtvee2017_Temp36,1.9680937927598805e-07
r_0283,Lahtvee2017_Temp36,1.9680937927598805e-07
r_0284,Lahtvee2017_Temp36,1.9680937927598805e-07
r_0285,Lahtvee2017_Temp36,1.9680937927598805e-07
r_0286,Lahtvee2017_Temp36,1.9680937927598805e-07
r_0287,Lahtvee2017_Temp36,1.9680937927598805e-07
r_0288,Lahtvee2017_Temp36,1.9680937927598805e-07
r_0289,Lahtvee2017_Temp36,1.9680937927598805e-07
r_0290,Lahtvee2017_Temp36,1.9680937927598805e-07
r_0291,Lahtvee2017_Temp36,1.9680937927598805e-07
r_0292,Lahtvee2017_Temp36,1.9680937927598805e-07
r_0293,Lahtvee2017_Temp36,1.9680937927598805e-07
r_0294_f,Lahtvee2017_Temp36,1.9680937927598805e-07
r_0295_f,Lahtvee2017_Temp36,1.9680937927598805e-07
r_0296,Lahtvee2017_Temp36,1.9680937927598805e-07
r_0297,Lahtvee2017_Temp36,1.9680937927598805e-07
r_0298,Lahtvee2017_Temp36,1.9680937927598805e-07
r_0299,Lahtvee2017_Temp36,1.9680937927598805e-07
r_0302_f,Lahtvee2017_Temp36,4.08098447525739e-05
r_0303_f,Lahtvee2017_Temp36,4.08098447525739e-05
r_0304,Lahtvee2017_Temp36,8.690701172367984e-07
r_0306,Lahtvee2017_Temp36,1.3994272030886748e-06
r_0307,Lahtvee2017_Temp36,1.3994272030886748e-06
r_0308,Lahtvee2017_Temp36,7.065467534041847e-07
r_0309,Lahtvee2017_Temp36,1.891640280637662e-05
r_0310,Lahtvee2017_Temp36,2.3985728744603123e-05
r_0311,Lahtvee2017_Temp36,7.94197640318831e-08
r_0312,Lahtvee2017_Temp36,7.167639760876785e-05
r_0313,Lahtvee2017_Temp36,1.1141079877117236e-06
r_0319,Lahtvee2017_Temp36,1.1408608414148123e-06
r_0320,Lahtvee2017_Temp36,1.0499823576884755e-06
r_0321,Lahtvee2017_Temp36,1.0411030501494521e-05
r_0322_f,Lahtvee2017_Temp36,0.0001554877091497841
r_0328,Lahtvee2017_Temp36,2.650914697774825e-07
r_0330_f,Lahtvee2017_Temp36,9.695541727000995e-06
r_0331,Lahtvee2017_Temp36,1.742388060445035e-06
r_0334,Lahtvee2017_Temp36,7.010267912653604e-07
