g/gCDW	DiBartolomeo2020_GlucR1	DiBartolomeo2020_GlucR2	DiBartolomeo2020_GlucR3	DiBartolomeo2020_EtohR1	DiBartolomeo2020_EtohR2	DiBartolomeo2020_EtohR3
YPR010C-A	9.592348921118E-06	0.0000106658125308	8.136988128117E-06	1.3848331996512E-05	1.6630938698388E-05	1.5200972697127E-05
YFL026W	0.000236255160472376	0.00025551104449024	0.000212667968434212	2.0322149733756E-05	2.6275443664848E-05	2.4760630393132E-05
YNL083W	1.2359379602559E-06	1.2440550778656E-06	1.16155952994807E-06	4.38408240751728E-06	4.5943662428568E-06	4.43804764636263E-06
YPL228W	0.0000095916433221	1.025116438752E-05	8.58589134417E-06	1.3095575449866E-05	1.3587780985632E-05	1.276677961083E-05
YDR110W	1.22058394288656E-06	1.2663309782256E-06	1.11629159446482E-06	1.35166861557648E-06	1.45324976547528E-06	1.35499545743214E-06
YPL081W	0.002110026007488	0.002230003353088	0.0019064748241728	0.0019329174648	0.0021971350555392	0.0019899314321152
YDR204W	6.1218005447124E-07	6.471672905824E-07	5.7545278692066E-07	6.8995111159098E-07	7.4853107878056E-07	6.9112804724944E-07
YHR167W	1.5787780994916E-06	1.6740664415832E-06	1.42183178311104E-06	7.4788066133613E-07	8.4695535228528E-07	7.6002802746591E-07
YLR390W-A	2.937712686282E-08	4.68650209104E-08	3.532577007663E-08	7.157805573402E-08	8.663025727224E-08	6.561523115928E-08
YLR421C	1.9487290365618E-05	2.094381170056E-05	1.8363718328652E-05	2.9521650913542E-05	3.1137263650104E-05	2.9318743454625E-05
YPR089W	3.3457051752705E-07	3.34090443974E-07	3.04010716034025E-07	3.8777081699475E-07	4.154711883462E-07	3.80962559033525E-07
YPL249C-A	0.01163080473282	0.01249495291296	0.010593094218084	0.0014053995904032	0.0019727176244832	0.0017596855158372
YOR298C-A	7.1275138640256E-05	7.631665362944E-05	6.0650868071232E-05	3.1337955499968E-05	3.6392418257664E-05	0.0000344980463568
YKL053C-A	2.62785953768E-06	0.0000025046930272	2.62671333912E-06	8.94748759164E-06	9.12812599296E-06	0.000008680896757
YEL020W-A	0.000112919460397824	0.00011259934178304	9.9850768581888E-05	0.0001362472055136	0.000168673938384384	0.000127706141549568
YDL045W-A	3.95725552122E-06	4.44956967952E-06	3.790079887734E-06	1.4707971271224E-05	1.5126741877512E-05	1.5544166209158E-05
