copy/pgCDW	Lahtvee2017_REF	Lahtvee2017_EtOH20	Lahtvee2017_EtOH40	Lahtvee2017_EtOH60	Lahtvee2017_Osmo02	Lahtvee2017_Osmo04	Lahtvee2017_Osmo06	Lahtvee2017_Temp33	Lahtvee2017_Temp36	Lahtvee2017_Temp38
YAL003W	45339.22573	47622.51442	43417.8103	38286.13124	49239.39024	48080.30681	51206.0736	49182.56994	50381.72408	48439.9012
YAL007C	908.0197833	1070.861812	987.8458756	1271.096559	1068.812273	1053.598465	1038.050437	956.4020462	699.960175	758.6484646
YAL012W	13484.19157	13192.1724	14250.47977	20882.97154	15546.86298	15948.62126	20129.27257	16819.0615	14444.20585	19957.40285
YAL014C	115.4072471	0	101.3902473	134.1837797	0	0	0	114.7960463	0	162.0397255
YAL016W	863.8697892	674.0771589	757.7555777	870.1668353	887.6644603	835.9973716	825.3804977	839.4553325	948.5843076	661.4717435
YAL021C	609.9050747	668.5793817	490.341903	453.1912156	552.6944276	538.4104713	571.1678501	546.874369	526.2237322	510.6691365
YAL025C	487.1356398	406.4227677	470.5977215	453.6733253	574.1629836	546.8261868	624.0240502	565.4640887	629.2081328	422.706275
YAL033W	0	0	126.1699194	0	0	0	0	0	461.4498079	82.81842662
YAL035W	424.0465239	385.4709847	394.1147981	464.4383912	427.0462203	470.9491353	507.2841294	390.8503682	451.3437906	643.4939996
YAL036C	284.6122299	297.5388934	271.2416284	203.5442343	342.0779215	405.5654272	476.887345	359.008143	389.0710408	395.3021127
YAL038W	23006.67682	20924.54532	11238.8849	17067.42432	25625.45638	26549.90388	25850.94792	25953.27657	26633.16102	51911.89231
YAL041W	0	56.95609186	63.39851804	80.90965001	0	54.01675211	42.47636486	50.57584572	56.47453477	52.00362059
YAL042W	304.6210134	258.6723936	297.0351126	311.3791701	331.1477911	305.7868499	277.4392775	254.8020836	219.6782289	223.9023055
YAL044C	6074.368635	7864.648221	6961.644341	4290.204683	5085.071136	4764.024899	3665.818695	5497.113671	5468.024277	3190.460614
YAL049C	3175.762283	4217.003979	3038.585171	2631.900891	2724.796256	2606.025175	1961.617456	3993.28397	4622.818452	3253.309239
YAL059W	152.284324	138.2062316	102.4144745	94.57782421	158.1207264	144.662744	135.1107055	182.0846208	157.5350431	110.4342576
YAL060W	1616.228657	484.3967394	326.9975098	245.58441	1572.5941	1701.619224	2291.430498	2232.427305	3007.438384	4370.699128
YAR002C-A	104.9537972	103.083933	105.5663149	125.6236582	108.9906308	102.4144808	100.5807997	104.6018777	97.83502602	101.4820237
