fmol/mgCDW	Yu2020_ClimR1	Yu2020_ClimR2	Yu2020_CN30R1	Yu2020_CN30R2	Yu2020_CN50R1	Yu2020_CN50R2	Yu2020_CN115R1	Yu2020_CN115R2
YMR056C	44.087315976798	42.707112736482	29.829667310092	23.1315761446008	13.4045288620296	15.4368570062381	15.6218891663939	19.3396427581557
YNL141W	1178.95714246985	1571.48725610821	2884.58211199972	3395.59384852358	1914.57356245498	2117.6104997045	1693.35242969566	2486.70904682917
YHR047C	462.805670340794	531.060575452627	342.579694927722	384.426907680774	222.705517188116	218.858609628757	166.650075897926	278.038014259331
YKL106W	270.446283446826	262.12088879724	200.089460840465	205.832097506789	119.109712745795	127.017504380757	143.806859788545	162.233771373404
YLR027C	3165.08469702755	3614.52648359798	3146.03240412265	3577.26332397326	2041.91811565697	1886.11689571453	1956.21284852011	2200.99059454342
YBR236C	275.103910218532	253.307825057084	146.792010552044	131.663333591343	77.1363354444068	75.9489343020399	100.505238306573	102.233150546679
YKL112W	194.338923466937	220.91060232266	187.84973591378	197.652502551916	121.51465118196	116.412936354722	85.8707189869962	153.532514550579
YMR072W	10478.3897450686	10648.75574749	10027.3232355564	9565.38765352572	5915.2578924808	6457.40320411457	7272.51654995191	8036.32049326813
YCR088W	198.15552880651	318.140201754835	272.218046445034	286.906232818314	253.962186895815	225.680034264235	120.594800918196	291.684136357026
YOR239W	80.3925618442434	80.5006001379618	68.707123900568	68.1063746546775	41.6500699545414	38.4157615563711	56.8764277668281	48.8828011634379
YNR033W	70.876033461284	74.0537647133952	45.5818065288288	43.9015055423623	24.9752736592457	24.0732437245007	22.6542463037088	29.7660479056993
YMR289W	170.230802063933	181.212739105563	126.550183951583	111.209830791581	59.494111014832	69.8215344504362	37.3860958779487	79.4143175311728
YGR037C	1915.78732819857	5310.45420023085	2776.70092208796	4600.2896397488	870.32396755116	6757.50254497091	1435.34639593588	5501.76343567819
YNR016C	2428.11867466212	2816.84027636609	2221.75738433217	2413.21076079143	1568.96956859424	1668.00219588306	2003.32976297068	2601.60770302616
YLR144C	31.9728669481736	30.6110187558907	29.6016187961207	27.2413166389388	17.9130245888803	17.8246884899214	22.8601021772416	23.2944213304562
YBL015W	5348.03674900503	5066.63857079546	1562.501701254	1341.00025945201	485.549797694933	569.049649268229	722.53733531735	471.976473804825
YLR304C	4293.41922323391	4519.17356176902	5914.9447459009	6576.99232399564	3502.3170706176	3576.59607010108	4394.92253859376	3532.45872657865
YJL200C	1240.80860859975	1182.60436683175	1086.03278350093	1166.81230685814	769.856105034548	780.588705379304	1123.68552753126	935.21724701724
YKL192C	64.5481828039688	72.8542584433849	48.9514034970894	85.1791933992181	63.3257577709622	63.70332511759	37.9483602408474	81.7957027897605
YLR153C	2962.16076751919	3711.80424490467	4182.01713729012	5112.59848410708	3750.23138814546	3325.74437941509	4215.22398937367	4658.09480122259
YFL039C	14066.9543321192	18850.8497528362	13882.2466171794	16032.6296567704	10344.3199610765	10307.7223803137	10326.7090951455	12798.8000039788
YDR448W	31.4511929151441	31.3551555490929	29.6614592011264	26.7994064305864	16.9803490159182	16.1223866459195	21.0875131145259	20.9248441347727
YMR184W	131.31998590034	156.757944062954	77.504069890777	81.9023375749652	47.1893804081966	42.9097998621031	33.672733814769	59.6787086761718
YKL206C	446.417975128741	434.952467510806	333.28571328129	304.674417115842	195.844931378227	188.787879515328	215.113853353295	240.621543827375
YAR015W	8122.16025245442	11182.9999308999	8207.73610476402	9930.36143591889	5900.00845874301	6353.29575738897	3977.75561897693	7665.82992697004
YNL220W	3038.12967204925	3119.65070457203	2516.37681633043	2752.57340166336	1822.567594488	1639.29809473589	1770.52551619925	2074.83116787606
YLR359W	8166.217669957	9981.00076124048	6159.37783669545	6203.84400356254	3487.99542697674	3457.44134301376	3009.17478242056	4194.51924480114
YLR028C	183.892634256266	219.209715477648	235.910593342261	349.532169045592	153.07395397366	368.879332850732	514.982072353187	398.455665531231
YMR120C	2289.67100950567	2938.93496548755	3066.67945243325	3691.7733694459	2334.22665844753	2635.41461330393	3691.06450359155	3321.0593942622
YOR128C	1968.69817844288	2186.13999250476	2102.07589860548	2287.91840621173	1450.8203311805	1378.60086168069	1651.27861420564	1955.15227778465
YGR204W	1219.27613990227	1510.71134928782	1538.10486281559	1898.38493045196	987.129352150207	1542.75068716608	1457.62377922266	1804.54890722352
YMR300C	269.135052668625	311.059765501239	331.048829469875	468.800653638764	273.121988591068	304.618032249314	466.805310354907	376.804826446211
YGL234W	3801.92366078391	4314.92247763043	2742.81948518215	2599.35258707381	1437.40764562324	1388.60464352334	1522.4157929398	1820.00690659436
YGR061C	448.2538959115	514.703258715685	430.511965553145	554.937961497537	323.926920689807	341.574135574277	348.29032372255	462.493506360484
YDR408C	465.557945580963	510.796648650183	447.938215231151	482.97793319579	322.251612443841	256.498422570052	214.084868638851	370.96765494486
YOL086C	26072.9513994113	32169.4646063912	33501.3350042492	42072.1622100767	31481.9100447761	31690.0147944414	30295.6394364365	40069.9444984557
YMR303C	21445.2537084795	19312.1612680137	298.181920665689	208.710201304286	68.5726467845624	79.2169917286207	138.547915889718	119.129389095726
YMR083W	11684.5616578389	11820.8210876156	13745.7635216832	14466.4599013649	8681.05401087789	8488.05488030302	10167.7062985262	9943.75277609649
YBR145W	337.346557072332	310.349802977875	76.7367249932303	74.5836141251351	42.3378062287136	41.1556989704611	43.2122216874642	55.6336774364364
YMR318C	2575.16023432607	2243.78275428798	1011.81367853073	1041.57628287515	682.954705247773	538.185078635415	1186.76518199178	705.583933560582
YDR226W	2037.44099095802	2691.45688646672	2210.74749577387	3049.64515064504	1381.18291539186	3030.42546346506	3680.48250980982	2959.1942057648
YJR105W	757.567279113539	757.8947329846	360.018648118375	377.41532212194	198.498296227371	222.481740184078	127.652041438094	257.037154083459
