fmol/mgCDW	Yu2021_N30_005R1	Yu2021_N30_005R2	Yu2021_N30_005R3	Yu2021_std_010R1	Yu2021_std_010R2	Yu2021_std_010R3	Yu2021_N30_010R1	Yu2021_N30_010R2	Yu2021_N30_010R3	Yu2021_N30_013R1	Yu2021_N30_013R2	Yu2021_N30_013R3	Yu2021_N30_018R1	Yu2021_N30_018R2	Yu2021_N30_018R3	Yu2021_N30_030R1	Yu2021_N30_030R2	Yu2021_N30_030R3	Yu2021_N30_035R1	Yu2021_N30_035R2	Yu2021_N30_035R3	Yu2021_Gln_glc1R1	Yu2021_Gln_glc1R2	Yu2021_Gln_glc1R3	Yu2021_Gln_glc2R1	Yu2021_Gln_glc2R2	Yu2021_Gln_glc2R3	Yu2021_Gln_N30R1	Yu2021_Gln_N30R2	Yu2021_Gln_N30R3	Yu2021_Phe_stdR1	Yu2021_Phe_stdR2	Yu2021_Phe_stdR3	Yu2021_Phe_N30R1	Yu2021_Phe_N30R2	Yu2021_Phe_N30R3	Yu2021_Ile_stdR1	Yu2021_Ile_stdR2	Yu2021_Ile_stdR3	Yu2021_Ile_N30R1	Yu2021_Ile_N30R2	Yu2021_Ile_N30R3
YNL083W	4.840233552	4.240349406	4.525755977	8.088604291	7.265799546	7.831574726	4.735927495	4.787078069	5.230468835	7.356842448	6.292293332	6.597311919	7.097679483	6.659934978	7.134521601	8.749577843	9.16222684	9.059308777	10.27768209	9.716328592	9.805620188	10.51203686	13.47179662	10.80663683	10.114793	6.192519701	7.804859909	4.714593317	7.982190497	8.865142179	12.33622789	14.28909217	13.60893504	9.417003037	8.508047671	9.706513651	8.862340448	10.33893025	7.529837666	8.973509447	9.083727393	8.658791968
YPL228W	157.097283	156.674508	169.0970929	198.6782178	219.7359149	186.590269	117.466448	136.6703106	140.7963781	186.8944838	163.994621	151.9823096	159.3084655	164.7441146	180.2890667	204.4572547	247.9609924	203.4695987	259.4879333	254.2644308	267.9954142	184.511608	276.4832003	193.8547485	222.5309389	156.0739965	216.1382641	100.2533156	168.8178819	202.317542	199.4625084	220.4635295	185.9018274	221.6937237	185.9699629	200.0248887	185.3136092	223.9311599	199.4541733	244.0026596	255.5190597	275.9747869
YDR110W	1.53461556	1.245269652	1.309992658	1.551638259	1.723676969	1.545066482	0.766840367	1.199746621	1.668468055	1.278392203	1.379323894	1.45418022	1.764032469	1.536393338	1.673903255	3.073074317	2.777308439	4.087784493	3.488707712	5.391818649	3.781595885	0.438938706	1.434029436	1.643237631	2.189500029	1.608918576	1.723533149	0.881257183	1.659107769	1.411419731	1.492678045	2.536711524	1.751296406	2.074819544	1.844411878	1.572128619	1.096214182	1.841295778	1.431874132	1.507849057	1.729495685	1.649627634
YPL081W	11824.16691	9997.847519	9111.935208	15070.51863	14398.26271	16898.70556	8990.481368	9073.912674	10464.84054	14635.14809	12237.71435	12338.4363	16473.91086	14724.85356	14931.60629	32562.14065	33682.04255	34040.86444	51196.30227	50023.46513	48001.83244	22204.40106	23015.17061	29086.98226	21622.89976	15117.43824	16878.87595	10334.06991	16573.03798	16243.8032	18610.43281	22546.22608	19818.29857	18155.63132	16598.65914	19418.01283	16238.76708	18257.948	17344.71484	21103.76216	21925.61113	21836.82896
YDR204W	86.21770457	83.95423682	0	80.68260567	88.77986271	79.62799419	79.29722017	70.7070234	126.612436	130.4791656	100.1283458	107.3136917	132.8359324	0	136.4780734	146.4763429	0	134.7529193	0	137.8935254	148.0709796	89.19950569	125.6163545	0	0	112.0712562	126.7175483	110.3314697	158.6649173	176.943551	137.6533693	0	173.3552411	183.0690498	193.0109369	212.5772275	104.56601	123.5973429	0	0	247.8022686	172.4217166
YHR167W	65.45751824	68.69090327	66.05625168	70.53064084	96.28756586	67.56769743	48.50939253	53.11986414	29.0449378	57.34666697	48.05228678	49.25499907	46.87055662	49.41910749	58.37110797	73.28001854	68.27066589	91.19256218	80.54722565	103.2096851	89.46705701	152.708032	160.3563824	167.5068624	120.8976803	50.85816566	67.41348062	29.21579039	67.72843371	67.130225	63.61410901	87.07111842	61.87111297	88.36764975	83.80618567	67.77332011	66.70803918	100.6456553	57.11009603	61.76380551	80.32918587	67.13944202
YLR421C	1217.687924	954.3534992	773.5014568	772.6410963	638.1002264	721.5859169	901.5749299	681.1169125	919.9925189	1440.299514	1255.271247	1378.447078	1321.962546	1127.551809	1137.739865	1671.250187	1594.266628	1858.659137	2071.597955	2173.660133	2229.123697	340.7508353	204.9367918	471.3091984	739.3488868	804.4730961	820.1386052	882.2969749	1336.274719	1100.254068	819.2568695	757.8987394	871.3313882	1161.775184	1218.953082	1155.073992	806.3715002	651.0149845	1110.097444	1752.864192	1233.831707	1668.332441
YPR089W	0.633879696	0.724035713	0.560603531	0.634969305	1.335570493	0.704350121	0.544350206	0.591214717	0.660627313	1.023482807	0.857300497	0.930366687	1.041166245	0.93776127	0.988081883	1.757504329	1.664802486	1.573122153	1.813410184	1.783876864	2.239806929	0.501791917	1.608779588	0.802602155	0.813687785	0.576426687	0.89371158	0.677872636	1.064778965	1.028661852	1.091579929	0.94179509	1.039609012	1.061796163	1.322449791	0.989655006	0.509981004	1.087451901	0.838326555	1.415723677	1.351747772	1.562658507
YPL249C-A	18567.69834	14780.14581	14449.40449	27992.20297	29707.07055	28435.3432	14202.03096	14749.23333	21446.91111	25698.44587	21812.10618	22051.88076	31455.46971	28591.67625	26807.53225	60395.51993	60028.11146	41327.91002	89719.07908	73076.60069	89020.89183	51386.26789	62924.51423	61268.07789	41818.15672	27830.37356	28524.31805	18326.15315	29134.59955	27222.74801	32551.42382	36054.8988	36504.90034	29405.50795	27014.10725	30927.22791	28733.54895	38670.10136	29591.53606	37696.39537	32460.53077	40851.49644
YOR298C-A	6951.569788	6415.98488	6901.48379	7053.688995	7432.112841	5881.157206	4172.256238	4525.184075	7844.301455	5470.868445	4568.285891	4415.654745	4239.190828	4448.838079	4642.143823	6108.897095	7042.918609	5956.16452	9615.335079	7963.179618	7330.967418	8498.583722	10444.08158	8875.939313	9739.321169	6031.158298	7771.964783	3797.016848	7508.479113	5349.574854	5739.607457	7218.30076	6779.135473	8010.123467	7177.991263	6044.017866	6275.239683	8411.447048	7196.225861	9957.325111	8091.972971	6351.159745
