condition,corrcoef
Yu2021_std_010R1,0.794737440711513
Yu2020_CN115R2,0.8562422667550424
Yu2021_N30_010R1,0.8399188418193154
Yu2021_Gln_N30R2,0.6975882832809669
DiBartolomeo2020_GlucR2,0.7757401662595018
Yu2021_N30_035R3,0.8278630764592191
Yu2021_Ile_stdR3,0.8091016457268151
Yu2020_ClimR2,0.8487212082132323
DiBartolomeo2020_EtohR3,0.768187545210762
Yu2021_Gln_glc1R3,0.8144514491890367
Yu2021_Ile_N30R2,0.7699383496904175
Yu2021_Ile_stdR1,0.8175174769228182
Lahtvee2017_Osmo06,0.8134453426071718
DiBartolomeo2020_EtohR1,0.7341252571255326
Lahtvee2017_Temp36,0.8345951898651863
Lahtvee2017_EtOH60,0.8459150119868305
Yu2021_Phe_stdR2,0.8242480880645995
Yu2021_N30_010R2,0.8423672311142467
Yu2021_N30_005R1,0.7900913613816456
Yu2021_Gln_N30R1,0.7113785451535748
Yu2020_ClimR1,0.8703724940501265
DiBartolomeo2020_EtohR2,0.7132284747115464
Yu2021_N30_005R3,0.8160227458771923
Yu2021_Phe_N30R3,0.8053928446499468
Lahtvee2017_EtOH40,0.8496653658587532
Yu2021_Gln_glc2R2,0.7658058365530309
Yu2021_Gln_glc1R2,0.8069711518366505
Yu2021_Phe_N30R2,0.8004301990123094
Yu2021_Phe_N30R1,0.8007711498113902
Yu2020_CN30R1,0.8467336479252957
Yu2021_N30_030R3,0.8703987607986525
Lahtvee2017_Osmo02,0.8441521313413273
Yu2020_CN50R2,0.8334325683866465
Yu2021_N30_010R3,0.7850343688192245
Yu2021_Gln_glc1R1,0.8139674720031908
Lahtvee2017_Temp33,0.822060782958784
DiBartolomeo2020_GlucR3,0.7930439152689809
Yu2021_Ile_stdR2,0.8122688933146925
Yu2021_N30_018R2,0.8660419337872514
Yu2021_Ile_N30R3,0.7291119975618341
Yu2021_Gln_N30R3,0.6803869686929009
DiBartolomeo2020_GlucR1,0.7952258712016583
Yu2021_N30_030R1,0.8477107561119601
Yu2021_Gln_glc2R3,0.7610385083514435
Yu2020_CN30R2,0.8785193622992855
Yu2021_N30_013R3,0.8433210168770376
Yu2021_Phe_stdR3,0.8321339742508493
Yu2020_CN50R1,0.8157118497567448
Lahtvee2017_REF,0.8366138299052459
Yu2021_std_010R2,0.823121657572702
Yu2021_N30_013R1,0.8262848047823586
Lahtvee2017_EtOH20,0.7935221147552464
Yu2020_CN115R1,0.8250754750469741
Lahtvee2017_Temp38,0.8602598164342102
Yu2021_Phe_stdR1,0.8367183622520342
Yu2021_N30_018R3,0.852036144746403
Yu2021_N30_005R2,0.7850429455455546
Yu2021_std_010R3,0.8175339511586253
Yu2021_Ile_N30R1,0.7596155729018214
Yu2021_N30_035R2,0.859848711734931
Lahtvee2017_Osmo04,0.8242051600754625
Yu2021_N30_035R1,0.8487211763667292
