condition,corrcoef
GLC_CHEM_mu=0.12_S,0.7057125137177632
GLC_CHEM_mu=0.46_P,0.7261742202972
GLC_CHEM_mu=0.22_P,0.716332985680279
GLC_CHEM_mu=0.20_S,0.7150463639682665
FUM_BATCH_mu=0.42_S,0.732138673210547
GLC_CHEM_mu=0.41_P,0.7396725616050873
GLC_BATCH_mu=0.58_S,0.6973088483870942
GLC_CHEM_mu=0.31_V,0.7460497530502676
GAM_BATCH_mu=0.46_S,0.594560141382299
GLC_CHEM_mu=0.50_S,0.7410196752153329
SUCC_BATCH_mu=0.44_S,0.7534895087327059
GLC_CHEM_mu=0.36_P,0.7075243936337109
GLC_CHEM_mu=0.49_V,0.746340557338417
GLC_CHEM_mu=0.51_P,0.9929922057520191
FRU_BATCH_mu=0.65_S,0.5460213968962355
MAN_BATCH_mu=0.47_S,0.7665885815671295
GLYC_BATCH_mu=0.47_S,0.7223583526912913
PYR_BATCH_mu=0.40_S,0.7080068023436508
GLC_CHEM_mu=0.31_P,0.7553124232190045
GLC_CHEM_mu=0.21_P,0.7141187823581691
GLC+SALTS_BATCH_mu=0.55_S,0.7228850473904974
GAL_BATCH_mu=0.26_S,0.7547866261907884
GLC_CHEM_mu=0.21_V,0.767518391082084
GLC_CHEM_mu=0.40_V,0.7595867163439584
GLC_CHEM_mu=0.11_V,0.7379422089937719
GLC@pH6_BATCH_mu=0.63_S,0.6546519410442515
