condition,corrcoef
GLC_CHEM_mu=0.35_S,0.5298846784304544
GLC_BATCH_mu=0.58_S,0.8171594488191072
MAN_BATCH_mu=0.47_S,0.8210576108739057
GAM_BATCH_mu=0.46_S,0.8273610064253609
GLC+SALTS_BATCH_mu=0.55_S,0.8100382073650259
GLC_CHEM_mu=0.31_P,0.5583669256688648
GLC_CHEM_mu=0.41_P,0.8228428049057842
ACE_BATCH_mu=0.3_S,0.5727039675181471
GLC_CHEM_mu=0.20_S,0.8593011746713535
GLC_CHEM_mu=0.22_P,0.8480186338622764
GLC_CHEM_mu=0.12_S,0.8559759182838318
GLC_CHEM_mu=0.36_P,0.8036617747039315
GLC_CHEM_mu=0.11_V,0.5218916576990331
GLC_CHEM_mu=0.51_P,0.9929922057520191
GLC_CHEM_mu=0.26_P,0.8454386262484779
GLC_CHEM_mu=0.50_S,0.8264555631516788
GLC@42deg_BATCH_mu=0.66_S,0.8185187143663045
GLC_CHEM_mu=0.46_P,0.8251977914585072
FUM_BATCH_mu=0.42_S,0.8302122896895586
GLC@pH6_BATCH_mu=0.63_S,0.7844624691586122
GLC_CHEM_mu=0.40_V,0.8464902263090012
FRU_BATCH_mu=0.65_S,0.8250817150525428
PYR_BATCH_mu=0.40_S,0.8298019733328841
GLC_CHEM_mu=0.21_P,0.8552092690504711
GAL_BATCH_mu=0.26_S,0.6315076043449532
GLC_CHEM_mu=0.49_V,0.8287260957054844
GLC_CHEM_mu=0.31_V,0.5787245986697539
GLC_CHEM_mu=0.21_V,0.8576492884521721
GLYC_BATCH_mu=0.47_S,0.8187448706798115
