rxns,pgi1,pgi2,pgi4,pgi5,pgi6,pgi7,pgi8,pts1,pts2,pts3,pts4,sdh1,sdh2,sdh3,tpi1,tpi2,tpi3
EX_cm_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_cmp_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_co2_e,15.0225722,13.04601769,14.56689314,12.59561238,18.35464515,14.26549805,14.77592187,11.05416815,15.70281586,7.62716584,16.86745275,11.52210793,15.42008553,12.18450036,11.87294089,12.47368083,14.14822809
EX_cobalt2_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DM_4crsol_c,0.00015356,0.00012928,0.00015446,0.00013696,0.00015865,0.00014735,0.00015164,0.00011819,0.00016761,0.00012419,0.00018286,0.00019401,0.00020163,0.00019965,0.00010513,0.00010812,0.00010762
DM_5drib_c,0.00030298,0.0002632,0.00031446,0.00027884,0.00030775,0.00030016,0.00030782,0.00024012,0.00034122,0.00025284,0.00037076,0.00039441,0.00041049,0.00040646,0.00021404,0.00022016,0.00020048
DM_aacald_c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DM_amob_c,0.00000133,0.00000116,0.00000139,0.00000123,0.00000136,0.00000132,0.00000136,0.00000106,0.0000015,0.00000111,0.00000164,0.00000174,0.00000181,0.00000179,0,0.00000097,0.00000088
DM_mththf_c,0.00092269,0.00077686,0.00092814,0.00123211,0.00095329,0.0008862,0.00090943,3.19510541,0.21327928,2.79853328,0.00109581,0.00116468,0.00121157,0.00119969,0.00063141,0.00064938,0.00064659
EX_colipa_e,0,0,0,0,0,0.0000093,0,0,0,0,0,0,0,0,-0.00000002,0.00000318,0
DM_oxam_c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_glc__D_e,0,0.89194315,0.43356723,0.07599061,0.19430634,0,0,2.19108984,0.89909077,1.79831358,0.62255543,0,0.38459215,0.67745411,0.32099951,0.30096652,0.63822662
EX_glcn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIOMASS_Ec_iJO1366_WT_53p95M,0.68861312,0.57974439,0.69264143,0.61418385,0.71145507,0.66,0.68,0.53,0.75159763,0.55691487,0.82,0.87,0.90415753,0.89529267,0.4714574,0.48454165,0.48259185
EX_glcr_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_colipap_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_glcur_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_glcur1p_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIOMASS_Ec_iJO1366_core_53p95M,0,0,0.00000008,0,0,0.00075094,0,0,0,0,0,0,0,0,0,0.00031113,0
EX_12ppd__R_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_gln__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_cpgn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_glu__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_gly_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_glyald_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_glyb_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_glyc_e,0.00441676,0.0037184,0.0044426,0.00008723,0.00022823,0.00423324,0.00116077,0,0,0.00353765,0,0,0,0,0,0,0
EX_12ppd__S_e,0,0,0,0.00000433,0,0,0.15938455,0,0,0,0,0,0,0,0,0,0
EX_14glucan_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_cpgn_un_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_15dap_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_glyc__R_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_glyc2p_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_23camp_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_23ccmp_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_23cgmp_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_23cump_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_23dappa_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_26dap__M_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_glyc3p_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_glyclt_e,0.24829775,0,0.3150899,0.00877589,0.02175927,0,0.05999193,0.00047179,0.00067042,0.00049677,0,0.00077604,0.00080651,0.0007986,0,0,0
EX_gmp_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_gsn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_gthox_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_gthrd_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_gtp_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_gua_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_h_e,6.35811413,5.14437569,9.80983293,7.88253246,6.33424412,6.45449042,9.66087008,16.19323621,9.65008445,25.34722345,10.02626585,26.74896857,24.3751301,26.96754542,16.29159544,11.66640801,10.79073673
EX_h2_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_h2o_e,32.7756895,27.99387097,33.19327621,28.77375551,36.70098486,31.30481379,32.15245127,24.93276798,35.08657194,23.16643705,38.01506083,33.96037721,39.03826551,35.54424893,24.13048419,25.67109177,26.59301041
EX_h2o2_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_h2s_e,0,-0.00000051,-0.00000001,0,0,0.00003392,0,0,-0.00000001,-0.00000001,0,0,-0.00000001,-0.00000001,-0.00000058,0.00000594,0
EX_hacolipa_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_halipa_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_hdca_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_hdcea_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_hg2_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_his__L_e,0,-0.0000002,-0.00000001,0,0,0.00003483,0,0,-0.00000001,-0.00000001,0,0,-0.00000001,-0.00000001,-0.00000021,0.00000605,0
EX_2ddglcn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_34dhpac_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_3amp_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_3cmp_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_3gmp_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_3hcinnm_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_3hpp_e,0,-0.00000063,-0.00000003,-0.00000001,0,0.00011142,0,0,0,-0.00000002,0,0,-0.00000004,-0.00000005,0,0.00001927,0
EX_3hpppn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_hom__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_hxa_e,0,0,-0.00000002,-0.00000001,0,0.00018067,0,0,0,0,0,0,0,0,-0.00000059,0,0
EX_hxan_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_idon__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_3ump_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_4abut_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_4hoxpacd_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_5dglcn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_5mtr_e,0.00464401,0.00390978,0.00467116,0.00414205,0.00479805,0.00451539,0.00458592,0.00357432,0.00506875,0.00375582,0.00553008,0.00586728,0.00609762,0.00603783,0.00317949,0.00328019,0.0032546
EX_LalaDglu_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ile__L_e,0,-0.00000061,-0.00000002,-0.00000001,0,0.0001068,0,0,-0.00000004,-0.00000002,0,0,-0.00000004,-0.00000005,-0.00000063,0.00001856,0
EX_imp_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_indole_e,0,-0.00000012,-0.00000001,0,0,0.0000209,0,0,-0.00000001,0,0,0,-0.00000001,-0.00000001,-0.00000012,0.00000363,0
EX_inost_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ins_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
