rxn,Nsubs,OnlySubResults,nOtherMets,nOneComb,OneMetResults,nTwoComb,TwoMetResults,nThreeComb,ThreeMetResults
3OAR100,3,-1.084621107275672,1733,73,"(('dutp_c',), -0.383288229899356)",2628,"(('dutp_c', 'pser__L_c'), 0.3441910628421539)",62196,"(('dutp_c', 'icit_c', 'ser__L_c'), 0.477221354065325)"
3OAR120,3,-0.14717173424184532,1733,73,"(('dutp_c',), 0.24637395010352678)",2628,"(('dutp_c', 'ser__L_c'), 0.434183223997612)",62196,"(('dutp_c', 'ser__L_c', 'ac_c'), 0.5440895356347571)"
3OAR121,3,-0.8831943078206728,1733,73,"(('gmp_c',), -0.42029188913446625)",2628,"(('dutp_c', 'pser__L_c'), -0.15847106884040435)",62196,"(('dutp_c', 'ser__L_c', 'ac_c'), 0.2137151638576408)"
3OAR140,3,-0.0008182062384467726,1733,73,"(('fad_c',), 0.1637745074978624)",2628,"(('fad_c', 'gly_c'), 0.2832928723678297)",62196,"(('g3p_c', 'pep_c', 'dutp_c'), 0.5468497441889006)"
3OAR141,3,-0.05631478446211382,1733,73,"(('dutp_c',), 0.25443569355929885)",2628,"(('dutp_c', 'ser__L_c'), 0.4551700873314294)",62196,"(('dutp_c', 'ser__L_c', 'dhap_c'), 0.5829530094174254)"
3OAR160,3,-0.009972701539896623,1733,73,"(('fad_c',), 0.29434516498950625)",2628,"(('dutp_c', 'pser__L_c'), 0.4702245269507568)",62196,"(('dutp_c', 'ser__L_c', 'dhap_c'), 0.587635395042465)"
3OAR161,3,-1.33886057399691,1733,73,"(('dutp_c',), -0.48818191962172747)",2628,"(('coa_c', 'dutp_c'), -0.09363754318719182)",62196,"(('dutp_c', 'ser__L_c', 'ac_c'), 0.27726918051252053)"
3OAR181,3,-0.09744288806496389,1733,73,"(('gmp_c',), 0.17293650093572577)",2628,"(('dutp_c', 'ser__L_c'), 0.28209493865149726)",62196,"(('dutp_c', 'pyr_c', 'ser__L_c'), 0.42676430670797416)"
3OAR40,3,-0.16776190962902002,1733,73,"(('fad_c',), 0.20987475802880814)",2628,"(('fad_c', 'dutp_c'), 0.3092551639420661)",62196,"(('g3p_c', 'pep_c', 'dutp_c'), 0.48957988782953465)"
3OAR60,3,-0.06785628458652615,1733,73,"(('fad_c',), 0.1831714789905844)",2628,"(('dutp_c', 'pser__L_c'), 0.3667487675825045)",62196,"(('g3p_c', 'pep_c', 'dutp_c'), 0.44931170129378656)"
3OAR80,3,-0.2036139385027532,1733,73,"(('dutp_c',), 0.23327325310703126)",2628,"(('dutp_c', 'pser__L_c'), 0.46932394091045515)",62196,"(('dutp_c', 'pyr_c', 'pser__L_c'), 0.5001765074983322)"
3OAS121,3,0.7019076443325767,1733,73,"(('glycogen_c',), 0.723964407868624)",2628,"(('na1_c', 'glyclt_c'), 0.8170551164628472)",62196,"(('na1_c', 'glyclt_c', 'na1_p'), 0.8618560111695726)"
3OAS141,3,0.7335852162460198,1733,73,"(('mql8_c',), 0.7567076185690681)",2628,"(('na1_c', 'glyclt_c'), 0.8290164795137374)",62196,"(('na1_c', 'glyclt_c', 'na1_p'), 0.8675786076406604)"
3OAS161,3,0.6017235098800656,1733,73,"(('adpglc_c',), 0.6265036913198655)",2628,"(('na1_c', 'glyclt_c'), 0.7334728527886238)",62196,"(('na1_c', 'glyclt_c', 'na1_p'), 0.8086629982496708)"
3OAS181,3,0.14564319675187548,1733,73,"(('f6p_c',), 0.5348743259080757)",2628,"(('2pg_c', 'gtp_c'), 0.6790645047667881)",62196,"(('dutp_c', 'xu5p__D_c', 'r5p_c'), 0.7814067233764129)"
5DOAN,2,-0.4280062674073298,1734,73,"(('dutp_c',), -0.11592346316943325)",2628,"(('dutp_c', '2dmmql8_c'), -0.07961872308777)",62196,"(('val__L_c', 'dutp_c', '2dmmql8_c'), 0.016832170135352563)"
ACGK,2,-1.7559403568239258,1734,72,"(('mththf_c',), -1.299597134863909)",2556,"(('13dpg_c', 'for_c'), -0.9467219078652617)",59640,"(('13dpg_c', 'for_c', 'gtp_c'), -0.416461358143975)"
ACGS,2,-0.34163967422196845,1734,72,"(('gmp_c',), 0.09902726016986414)",2556,"(('pyr_c', 'gmp_c'), 0.14330926585270876)",59640,"(('cit_c', 'dutp_c', 'gmp_c'), 0.27029147678234533)"
ACOAD1f_b,2,-3.2881109390846226,1734,104,"(('ade_c',), -2.1022651497814)",5356,"(('hxcoa_c', 'alaala_p'), -0.11099238804820896)",182104,"(('ru5p__D_c', 'gly_c', 'ppi_c'), 0.44818203333686074)"
ACOAD2f_b,2,-0.36755811717829845,1734,104,"(('gly_c',), 0.12285131939094704)",5356,"(('thf_c', '3php_c'), 0.5464808000987234)",182104,"(('gdp_c', 'gtp_c', 'for_c'), 0.7505623795891385)"
ACOAD3f_b,2,-3.165449809057662,1734,104,"(('mql8_c',), -0.40796568015508755)",5356,"(('gdp_c', '2dmmql8_c'), 0.28179229865704014)",182104,"(('ttdca_c', '2pg_c', 'ppi_c'), 0.7440729326511423)"
