rxn,Nsubs,OnlySubResults,nOtherMets,nOneComb,OneMetResults,nTwoComb,TwoMetResults,nThreeComb,ThreeMetResults
3OAR100,3,-0.5087700773869432,1733,73,"(('fad_c',), -0.24059206347487447)",2628,"(('amp_c', 'dutp_c'), 0.060238575690897744)",62196,"(('coa_c', 'dutp_c', 'ser__L_c'), 0.3538172652130428)"
3OAR120,3,-0.5087706490025123,1733,73,"(('fad_c',), -0.24059240162778148)",2628,"(('amp_c', 'dutp_c'), 0.06023824349920279)",62196,"(('coa_c', 'dutp_c', 'ser__L_c'), 0.35381718103576076)"
3OAR121,3,-0.5087702332249824,1733,73,"(('fad_c',), -0.24059220156177571)",2628,"(('amp_c', 'dutp_c'), 0.06023882588193097)",62196,"(('coa_c', 'dutp_c', 'ser__L_c'), 0.35381779190357887)"
3OAR140,3,-0.5409334442884547,1733,73,"(('fad_c',), -0.2728215602028462)",2628,"(('amp_c', 'dutp_c'), 0.01619995308929653)",62196,"(('coa_c', 'dutp_c', 'ser__L_c'), 0.39355068088574124)"
3OAR141,3,-0.5087702332249833,1733,73,"(('fad_c',), -0.24059220156177785)",2628,"(('amp_c', 'dutp_c'), 0.060238825881928554)",62196,"(('coa_c', 'dutp_c', 'ser__L_c'), 0.3538177919035964)"
3OAR160,3,-0.5087700510272731,1733,73,"(('fad_c',), -0.2405920514815003)",2628,"(('amp_c', 'dutp_c'), 0.06023881983546239)",62196,"(('coa_c', 'dutp_c', 'ser__L_c'), 0.3538179837107289)"
3OAR161,3,-0.5087702332249833,1733,73,"(('fad_c',), -0.24059220156175282)",2628,"(('amp_c', 'dutp_c'), 0.060238825881888336)",62196,"(('coa_c', 'dutp_c', 'ser__L_c'), 0.35381779190339313)"
3OAR181,3,-0.5087704081227443,1733,73,"(('fad_c',), -0.24059231158277125)",2628,"(('amp_c', 'dutp_c'), 0.06023875006988297)",62196,"(('coa_c', 'dutp_c', 'ser__L_c'), 0.3538153155016005)"
3OAR40,3,-0.5087701270992528,1733,73,"(('fad_c',), -0.24059218542490124)",2628,"(('amp_c', 'dutp_c'), 0.060238846673717955)",62196,"(('coa_c', 'dutp_c', 'ser__L_c'), 0.3538185243340755)"
3OAR60,3,-0.508770102724212,1733,73,"(('fad_c',), -0.24059217225156315)",2628,"(('amp_c', 'dutp_c'), 0.06023893629733784)",62196,"(('coa_c', 'dutp_c', 'ser__L_c'), 0.35381925186808905)"
3OAR80,3,-0.508770130506121,1733,73,"(('fad_c',), -0.2405922220338375)",2628,"(('amp_c', 'dutp_c'), 0.06023893208857309)",62196,"(('coa_c', 'dutp_c', 'ser__L_c'), 0.3538195125152725)"
3OAS121,3,-0.4427677917489953,1733,73,"(('glycogen_c',), -0.0662993510225019)",2628,"(('glycogen_c', 'fad_c'), 0.2112546749661004)",62196,"(('cit_c', 'icit_c', '2dmmql8_c'), 0.4231839929734176)"
3OAS141,3,-0.44276779174894043,1733,73,"(('glycogen_c',), -0.06629935102292384)",2628,"(('glycogen_c', 'fad_c'), 0.21125467495627684)",62196,"(('cit_c', 'icit_c', '2dmmql8_c'), 0.42318399297496484)"
3OAS161,3,-0.4427290634376223,1733,73,"(('glycogen_c',), -0.06638450265213486)",2628,"(('glycogen_c', 'fad_c'), 0.21428137592785854)",62196,"(('cit_c', 'icit_c', '2dmmql8_c'), 0.4231859145572279)"
3OAS181,3,-1.5973415512776037,1733,73,"(('f6p_c',), -0.24862126550689173)",2628,"(('dhap_c', 'acon_C_c'), -0.052628157872074754)",62196,"(('ppi_c', 'flxr_c', 'dutp_c'), 0.2661203718783153)"
5DOAN,2,-0.40629168592154635,1734,73,"(('val__L_c',), -0.10928378512651396)",2628,"(('val__L_c', '3pg_c'), 0.0015415843085058167)",62196,"(('fum_c', 'for_c', 'val__L_c'), 0.5147920041451235)"
ACGK,2,-1.0845329460774968,1734,72,"(('ru5p__D_c',), -0.3298260944176521)",2556,"(('ru5p__D_c', 'dutp_c'), 0.026807443317137025)",59640,"(('glycogen_c', 'ru5p__D_c', 'dutp_c'), 0.09100646225964687)"
